Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,Volume moyen,Fiabilite,detection_time
URBN,ACHAT,5.25,77.52999877929688,Hausse,54.91,Consumer Cyclical,1111806.67,100.0,2025-08-18 00:31:21
T,ACHAT,5.75,28.8700008392334,Hausse,65.22,Communication Services,32137460.0,100.0,2025-08-18 00:31:21
NEM,ACHAT,6.1,69.33000183105469,Hausse,69.07,Basic Materials,11260720.0,66.66666666666666,2025-08-18 00:31:21
EZPW,ACHAT,6.1,16.06999969482422,Hausse,69.67,Financial Services,735790.0,66.66666666666666,2025-08-18 00:31:21
DBK.DE,ACHAT,6.625,31.2450008392334,Hausse,73.35,Financial Services,5141488.73,66.66666666666666,2025-08-18 00:31:21
DAL,ACHAT,5.75,60.2400016784668,Hausse,68.22,Industrials,10342090.0,66.66666666666666,2025-08-18 00:31:21
CAP.PA,VENTE,-2.5,123.0500030517578,Baisse,35.27,Technology,349875.33,60.0,2025-08-18 00:31:21
ADYEN.AS,VENTE,-1.375,1396.4000244140625,Baisse,34.79,Technology,79826.37,80.0,2025-08-18 00:31:21
ABT,ACHAT,4.75,131.75,Hausse,53.77,Healthcare,7383993.33,60.0,2025-08-18 00:31:21
3988.HK,VENTE,-0.625,4.449999809265137,Baisse,39.78,Financial Services,216056899.53,66.66666666666666,2025-08-18 00:31:21
ZS,ACHAT,9.07,274.9700012207031,Baisse,43.14,Technology,1657966.67,100.0,2025-08-18 01:10:31
ZM,ACHAT,8.48,73.13999938964844,Hausse,47.28,Technology,3075213.33,66.66666666666666,2025-08-18 01:10:31
ZC=F,ACHAT,5.7,405.25,Hausse,54.18,ℹ️Inconnu!!,122081.83,100.0,2025-08-18 01:10:31
XRT,ACHAT,3.11,83.56999969482422,Hausse,61.1,ℹ️Inconnu!!,5735690.0,0.0,2025-08-18 01:10:31
XOM,ACHAT,6.16,106.48999786376952,Baisse,45.34,Energy,15366873.33,0.0,2025-08-18 01:10:31
XLV,ACHAT,3.08,136.2100067138672,Hausse,57.73,ℹ️Inconnu!!,15066133.33,0.0,2025-08-18 01:10:31
XLI,ACHAT,4.44,150.44000244140625,Baisse,51.26,ℹ️Inconnu!!,11420246.67,100.0,2025-08-18 01:10:31
XLB,ACHAT,4.81,90.02999877929688,Hausse,53.07,ℹ️Inconnu!!,7536683.33,0.0,2025-08-18 01:10:31
WMT,ACHAT,6.13,100.0,Hausse,54.55,Consumer Defensive,14372990.0,66.66666666666666,2025-08-18 01:10:31
WDAY,ACHAT,6.13,226.08999633789065,Baisse,46.65,Technology,2799396.67,0.0,2025-08-18 01:10:31
VICI,ACHAT,3.905,32.5,Baisse,42.9,Real Estate,4312220.0,0.0,2025-08-18 01:10:31
VEEV,ACHAT,5.52,280.6099853515625,Baisse,48.95,Healthcare,772686.67,0.0,2025-08-18 01:10:31
ULVR.L,ACHAT,6.628,4484.0,Baisse,48.36,Consumer Defensive,1967895.0,0.0,2025-08-18 01:10:31
UDR,ACHAT,3.38,38.5099983215332,Baisse,44.5,Real Estate,1642090.0,60.0,2025-08-18 01:10:31
UBSG.SW,VENTE,-2.385,32.2400016784668,Hausse,79.08,Financial Services,5020335.87,100.0,2025-08-18 01:10:31
