# Quelle: Nasdaq, Historical Quotes AGI (NYSE), abgerufen am 16.09.2026
datum,schluss_usd
2020-12-31,8.75
2021-01-29,8.00
2021-02-26,7.10
2021-03-31,7.81
2021-04-30,8.00
2021-05-28,9.13
2021-06-30,7.65
2021-07-30,8.12
2021-08-31,7.90
2021-09-30,7.20
2021-10-29,7.44
2021-11-30,7.64
2021-12-31,7.69
2022-01-31,6.83
2022-02-28,7.36
2022-03-31,8.42
2022-04-29,7.76
2022-05-31,7.47
2022-06-30,7.02
2022-07-29,7.89
2022-08-31,7.19
2022-09-30,7.41
2022-10-31,7.89
2022-11-30,9.70
2022-12-30,10.11
2023-01-31,11.04
2023-02-28,10.18
2023-03-31,12.23
2023-04-28,12.93
2023-05-31,12.34
2023-06-30,11.92
2023-07-31,12.35
2023-08-31,12.84
2023-09-29,11.29
2023-10-31,12.38
2023-11-30,14.81
2023-12-29,13.47
2024-01-31,12.11
2024-02-29,11.81
2024-03-28,14.75
2024-04-30,14.71
2024-05-31,16.71
2024-06-28,15.68
2024-07-31,17.03
2024-08-30,19.28
2024-09-30,19.94
2024-10-31,20.18
2024-11-29,18.82
2024-12-31,18.44
2025-01-31,20.93
2025-02-28,22.86
2025-03-31,26.74
2025-04-30,28.52
2025-05-30,25.89
2025-06-30,26.56
2025-07-31,24.30
2025-08-29,30.45
2025-09-30,34.86
2025-10-31,30.79
2025-11-28,37.50
2025-12-31,38.58
2026-01-30,36.90
2026-02-27,54.19
2026-03-31,44.43
2026-04-30,39.94
2026-05-29,40.80
2026-06-30,30.34
2026-07-31,27.83
2026-08-31,36.61
2026-09-14,35.66
