# Quelle: Nasdaq, Historical Quotes AGI (NYSE), abgerufen am 16.09.2026
# S = Jahresschluss, H = Jahreshoechstkurs, T = Jahrestiefstkurs
datum,kurs,art
2020-12-31,8.75,S
2021-01-05,9.87,H
2021-12-15,6.64,T
2021-12-31,7.69,S
2022-09-26,6.35,T
2022-12-27,10.45,H
2022-12-30,10.11,S
2023-02-24,9.78,T
2023-12-01,14.95,H
2023-12-29,13.47,S
2024-02-13,11.24,T
2024-10-21,21.45,H
2024-12-31,18.44,S
2025-01-07,18.65,T
2025-12-26,40.98,H
2025-12-31,38.58,S
2026-03-02,55.41,H
2026-07-31,27.05,T
2026-09-14,35.66,S
