# Quelle: Nasdaq Historical Quotes, abgerufen am 16.09.2026
# Indexiert auf 2026-01-02 = 100
datum,AGI,GLD,GDX
2026-01-02,100.00,100.00,100.00
2026-01-05,102.27,102.63,103.17
2026-01-06,105.70,103.74,107.48
2026-01-07,107.11,102.75,106.22
2026-01-08,108.36,103.32,106.78
2026-01-09,108.85,104.06,107.97
2026-01-12,110.80,106.01,111.65
2026-01-13,111.35,105.86,112.53
2026-01-14,111.92,106.94,112.98
2026-01-15,104.92,106.29,113.27
2026-01-16,101.28,105.78,113.43
2026-01-20,106.33,109.78,119.89
2026-01-21,104.56,111.38,118.15
2026-01-22,109.82,113.44,122.68
2026-01-23,113.04,114.99,124.83
2026-01-26,111.01,116.68,125.37
2026-01-27,113.62,119.54,127.48
2026-01-28,115.67,124.17,130.83
2026-01-29,109.66,124.51,125.95
2026-01-30,96.07,111.72,109.88
2026-02-02,95.89,107.24,109.87
2026-02-03,99.69,114.06,114.57
2026-02-04,105.39,113.98,115.13
2026-02-05,98.07,110.95,107.83
2026-02-06,104.58,114.36,113.60
2026-02-09,114.16,117.26,120.02
2026-02-10,117.63,116.10,120.16
2026-02-11,120.41,117.41,123.61
2026-02-12,109.84,113.33,114.64
2026-02-13,117.81,116.15,121.24
2026-02-17,112.76,112.53,116.94
2026-02-18,113.88,115.06,119.63
2026-02-19,119.40,115.39,121.59
2026-02-20,124.55,117.66,123.95
2026-02-23,129.39,120.84,128.65
2026-02-24,131.63,119.16,129.13
2026-02-25,130.23,118.87,129.66
2026-02-26,136.55,119.89,132.85
2026-02-27,141.08,121.46,135.12
2026-03-02,144.05,123.03,134.54
2026-03-03,136.03,117.54,122.76
2026-03-04,135.28,118.46,123.50
2026-03-05,128.56,117.04,118.77
2026-03-06,129.89,118.89,118.25
2026-03-09,133.19,118.64,119.49
2026-03-10,131.63,119.98,120.58
2026-03-11,128.66,119.57,118.23
2026-03-12,126.32,117.22,115.83
2026-03-13,119.37,115.71,108.78
2026-03-16,120.46,115.60,110.09
2026-03-17,119.03,115.31,109.60
2026-03-18,109.06,111.67,102.78
2026-03-19,103.15,107.06,96.70
2026-03-20,99.64,103.79,93.46
2026-03-23,104.53,101.45,97.26
2026-03-24,106.40,101.47,97.40
2026-03-25,108.96,104.52,100.69
2026-03-26,104.95,100.59,96.10
2026-03-27,110.75,104.12,100.07
2026-03-30,108.70,104.09,100.07
2026-03-31,115.67,108.04,107.05
2026-04-01,118.77,109.93,111.99
2026-04-02,119.79,107.82,110.33
2026-04-06,120.57,107.37,109.44
2026-04-07,121.01,108.42,110.78
2026-04-08,123.98,109.10,114.52
2026-04-09,122.60,109.95,114.72
2026-04-10,126.22,109.75,115.93
2026-04-13,125.46,109.31,115.22
2026-04-14,127.00,111.75,117.52
2026-04-15,124.52,110.59,114.04
2026-04-16,125.93,110.50,113.92
2026-04-17,128.48,111.96,117.04
2026-04-20,127.44,111.96,117.04
2026-04-21,115.96,107.86,108.47
2026-04-22,117.57,109.28,110.21
2026-04-23,114.50,108.23,107.54
2026-04-24,117.57,108.78,110.04
2026-04-27,113.41,107.94,108.00
2026-04-28,108.59,105.93,103.28
2026-04-29,106.56,104.80,100.57
2026-04-30,103.98,106.37,102.99
2026-05-01,102.63,106.25,101.61
2026-05-04,101.69,104.13,99.91
2026-05-05,101.22,105.02,100.09
2026-05-06,109.35,108.21,107.83
2026-05-07,110.31,108.39,106.99
2026-05-08,112.94,108.91,110.33
2026-05-11,114.29,109.13,113.85
2026-05-12,115.78,108.70,113.31
2026-05-13,113.64,108.09,112.25
2026-05-14,113.15,107.26,109.59
2026-05-15,104.74,104.77,101.89
2026-05-18,104.92,105.06,101.64
2026-05-19,100.39,103.32,97.73
2026-05-20,102.89,104.80,100.73
2026-05-21,102.19,104.70,100.30
2026-05-22,99.82,103.90,99.17
2026-05-26,104.76,103.95,103.23
2026-05-27,100.18,102.56,99.66
2026-05-28,102.89,103.64,101.69
2026-05-29,106.22,104.73,104.39
2026-06-01,102.97,103.26,101.11
2026-06-02,103.12,103.43,102.71
2026-06-03,98.41,102.41,99.15
2026-06-04,100.52,103.26,100.78
2026-06-05,92.48,99.49,91.96
2026-06-08,93.39,99.75,91.76
2026-06-09,91.12,98.12,90.51
2026-06-10,85.94,94.05,86.10
2026-06-11,89.79,97.00,90.66
2026-06-12,91.64,97.05,93.35
2026-06-15,98.00,99.57,99.46
2026-06-16,100.03,99.84,101.76
2026-06-17,97.14,97.57,98.40
2026-06-18,94.61,97.20,96.24
2026-06-22,83.42,96.56,95.00
2026-06-23,80.40,94.74,90.59
2026-06-24,78.37,91.88,87.01
2026-06-25,80.99,92.76,88.27
2026-06-26,81.54,93.81,89.82
2026-06-29,80.03,92.54,88.28
2026-06-30,78.99,92.49,88.01
2026-07-01,78.91,93.05,87.57
2026-07-02,82.22,94.94,91.48
2026-07-06,82.19,95.95,91.85
2026-07-07,79.46,94.78,88.37
2026-07-08,76.10,94.02,85.77
2026-07-09,77.79,94.95,88.39
2026-07-10,76.70,94.66,88.10
2026-07-13,75.14,92.18,85.58
2026-07-14,76.46,93.44,87.34
2026-07-15,75.55,93.49,86.32
2026-07-16,73.55,91.63,83.28
2026-07-17,73.57,92.50,83.19
2026-07-20,73.34,92.30,82.51
2026-07-21,76.85,94.11,86.54
2026-07-22,79.51,95.19,89.44
2026-07-23,76.49,93.28,87.51
2026-07-24,77.01,93.38,87.75
2026-07-27,77.38,94.06,88.34
2026-07-28,74.95,92.74,86.56
2026-07-29,74.41,93.17,85.82
2026-07-30,73.94,94.70,89.56
2026-07-31,72.46,93.29,86.43
2026-08-03,74.72,93.33,88.71
2026-08-04,74.88,93.94,90.89
2026-08-05,81.41,97.83,97.61
2026-08-06,80.97,97.84,97.89
2026-08-07,86.31,100.05,104.85
2026-08-10,86.41,101.07,105.55
