# Aumann AG (ISIN DE000A2DAM03), XETRA-Monatsschlusskurse 2022-2025 in EUR
# Quelle: Yahoo Finance, Symbol AAG.DE, Chart-Schnittstelle
#   https://query1.finance.yahoo.com/v8/finance/chart/AAG.DE?interval=1mo
#   abgerufen am 29.07.2026. Die Antwort weist als Handelsplatz
#   "fullExchangeName": "XETRA" und als Waehrung EUR aus.
#
# VALIDIERUNG: Die vier Dezember-Schlusskurse dieser Reihe (11.48 / 18.58 /
# 10.62 / 12.32) stimmen auf den Cent mit den XETRA-Jahresschlusskursen der
# Geschaeftsberichte 2023 (S. 14), 2024 (S. 13) und 2025 (S. 13) ueberein.
# Die Reihe bildet damit dieselbe Notierung ab wie die Primaerquelle.
#
# Spalte x: Monatsmitte als Dezimaljahr, damit pgfplots die Reihe auf
# derselben Jahresachse zeichnen kann wie data/aktienkurs.csv.
monat,x,schluss
2022-01,2022.0417,13.98
2022-02,2022.1250,15.98
2022-03,2022.2083,15.74
2022-04,2022.2917,14.38
2022-05,2022.3750,15.22
2022-06,2022.4583,12.62
2022-07,2022.5417,14.00
2022-08,2022.6250,15.32
2022-09,2022.7083,11.00
2022-10,2022.7917,12.24
2022-11,2022.8750,12.82
2022-12,2022.9583,11.48
2023-01,2023.0417,13.74
2023-02,2023.1250,13.40
2023-03,2023.2083,15.10
2023-04,2023.2917,16.64
2023-05,2023.3750,14.26
2023-06,2023.4583,13.94
2023-07,2023.5417,13.38
2023-08,2023.6250,15.46
2023-09,2023.7083,15.02
2023-10,2023.7917,12.60
2023-11,2023.8750,17.60
2023-12,2023.9583,18.58
2024-01,2024.0417,16.00
2024-02,2024.1250,16.34
2024-03,2024.2083,17.76
2024-04,2024.2917,17.70
2024-05,2024.3750,18.40
2024-06,2024.4583,14.30
2024-07,2024.5417,14.42
2024-08,2024.6250,12.40
2024-09,2024.7083,11.84
2024-10,2024.7917,10.02
2024-11,2024.8750,10.36
2024-12,2024.9583,10.62
2025-01,2025.0417,11.08
2025-02,2025.1250,10.28
2025-03,2025.2083,11.92
2025-04,2025.2917,13.30
2025-05,2025.3750,12.62
2025-06,2025.4583,12.18
2025-07,2025.5417,11.96
2025-08,2025.6250,11.18
2025-09,2025.7083,12.82
2025-10,2025.7917,12.58
2025-11,2025.8750,12.48
2025-12,2025.9583,12.32
