# Quelle: Nasdaq, Historical Quotes BRO (NYSE), abgerufen am 28.08.2026
datum,schluss_usd
2020-12-31,47.41
2021-01-29,43.09
2021-02-26,45.90
2021-03-31,45.71
2021-04-30,53.18
2021-05-28,52.52
2021-06-30,53.14
2021-07-30,54.40
2021-08-31,58.05
2021-09-30,55.45
2021-10-29,63.11
2021-11-30,64.41
2021-12-31,70.28
2022-01-31,66.28
2022-02-28,67.61
2022-03-31,72.27
2022-04-29,61.98
2022-05-31,59.37
2022-06-30,58.34
2022-07-29,65.10
2022-08-31,63.04
2022-09-30,60.48
2022-10-31,58.79
2022-11-30,59.59
2022-12-30,56.97
2023-01-31,58.56
2023-02-28,56.07
2023-03-31,57.42
2023-04-28,64.39
2023-05-31,62.33
2023-06-30,68.84
2023-07-31,70.45
2023-08-31,74.10
2023-09-29,69.84
2023-10-31,69.42
2023-11-30,74.74
2023-12-29,71.11
2024-01-31,77.56
2024-02-29,84.21
2024-03-28,87.54
2024-04-30,81.54
2024-05-31,89.51
2024-06-28,89.41
2024-07-31,99.43
2024-08-30,105.13
2024-09-30,103.60
2024-10-31,104.64
2024-11-29,113.10
2024-12-31,102.02
2025-01-31,104.66
2025-02-28,118.54
2025-03-31,124.40
2025-04-30,110.60
2025-05-30,112.90
2025-06-30,110.87
2025-07-31,91.37
2025-08-29,96.95
2025-09-30,93.79
2025-10-31,79.74
2025-11-28,80.43
2025-12-31,79.70
2026-01-30,72.10
2026-02-27,71.82
2026-03-31,65.21
2026-04-30,60.15
2026-05-29,56.25
2026-06-30,64.15
2026-07-31,70.40
2026-08-27,71.39
