# Quelle: Nasdaq, Historical Quotes AZN, abgerufen am 18.09.2026
# Kursreihe ohne Dividenden; um Split bzw. Umstellung der Notierung zurueckgerechnet.
Jahr;Tag_Hoch;Hoch;Tag_Tief;Tief
2016;2016-09-30;67.3;2016-12-08;49.89
2017;2017-06-02;68.63;2017-02-06;52.1
2018;2018-11-14;82.6;2018-03-08;62.82
2019;2019-12-23;102.46;2019-01-28;69.4
2020;2020-07-17;120.85;2020-03-16;76.0
2021;2021-11-04;129.92;2021-03-04;94.71
2022;2022-04-18;141.57;2022-09-26;104.5
2023;2023-04-24;153.1;2023-10-27;121.45
2024;2024-08-30;175.0;2024-02-12;120.6649
2025;2025-11-26;188.5;2025-04-10;128.91
2026;2026-02-17;209.48;2026-08-04;155.62
