# Quelle: Nasdaq, Historical Quotes AZN, abgerufen am 18.09.2026
# Kursreihe ohne Dividenden; um Split bzw. Umstellung der Notierung zurueckgerechnet.
Monatsende;Schluss
2016-09-30;67.3
2016-10-31;56.65
2016-11-30;52.26
2016-12-30;53.87
2017-01-31;52.1
2017-02-28;58.15
2017-03-31;61.5052
2017-04-28;59.3
2017-05-31;66.84
2017-06-30;66.9168
2017-07-31;60.25
2017-08-31;56.7
2017-09-29;64.82
2017-10-31;66.495
2017-11-30;66.2973
2017-12-29;64.56
2018-01-31;68.6
2018-02-28;65.6
2018-03-29;67.05
2018-04-30;69.55
2018-05-31;72.7
2018-06-29;67.7
2018-07-31;76.6875
2018-08-31;75.3
2018-09-28;78.425
2018-10-31;74.3
2018-11-30;77.9375
2018-12-31;73.4
2019-01-31;71.325
2019-02-28;81.9152
2019-03-29;84.015
2019-04-30;74.775
2019-05-31;72.75
2019-06-28;82.76
2019-07-31;87.35
2019-08-30;89.95
2019-09-30;90.65
2019-10-31;95.7
2019-11-29;97.0
2019-12-31;101.0
2020-01-31;97.75
2020-02-28;87.25
2020-03-31;90.5
2020-04-30;106.3
2020-05-29;107.26
2020-06-30;105.41
2020-07-31;111.0
2020-08-31;112.0
2020-09-30;109.925
2020-10-30;102.96
2020-11-30;104.09
2020-12-31;101.0
2021-01-29;104.5
2021-02-26;97.3
2021-03-31;100.85
2021-04-30;107.84
2021-05-28;116.26
2021-06-30;121.32
2021-07-30;114.11
2021-08-31;116.15
2021-09-30;121.6
2021-10-29;125.275
2021-11-30;111.57
2021-12-31;115.8501
2022-01-31;117.02
2022-02-28;117.23
2022-03-31;134.63
2022-04-29;132.33
2022-05-31;129.26
2022-06-30;128.91
2022-07-29;130.72
2022-08-31;124.44
2022-09-30;107.1
2022-10-31;116.44
2022-11-30;132.1
2022-12-30;136.22
2023-01-31;128.0
2023-02-28;129.22
2023-03-31;140.16
2023-04-28;146.55
2023-05-31;146.08
2023-06-30;143.9
2023-07-31;144.82
2023-08-31;134.0399
2023-09-29;135.05
2023-10-31;122.7599
2023-11-30;128.5
2023-12-29;134.45
2024-01-31;132.4
2024-02-29;126.625
2024-03-28;136.96
2024-04-30;151.0
2024-05-31;153.78
2024-06-28;156.2675
2024-07-31;156.35
2024-08-30;175.0
2024-09-30;154.46
2024-10-31;141.9
2024-11-29;136.5
2024-12-31;130.0
2025-01-31;140.72
2025-02-28;150.46
2025-03-31;147.36
2025-04-30;145.64
2025-05-30;141.5
2025-06-30;138.18
2025-07-31;147.39
2025-08-29;161.13
2025-09-30;149.5
2025-10-31;163.675
2025-11-28;183.74
2025-12-31;175.5
2026-01-30;187.1
2026-02-27;208.45
2026-03-31;197.22
2026-04-30;187.37
2026-05-29;185.67
2026-06-30;189.62
2026-07-31;169.64
2026-08-31;162.13
2026-09-17;166.14
