# Quelle: Nasdaq, Historical Quotes RDY, abgerufen am 18.09.2026
# Kursreihe ohne Dividenden; um Split bzw. Umstellung der Notierung zurueckgerechnet.
Jahr;Tag_Hoch;Hoch;Tag_Tief;Tief
2016;2016-11-01;9.934;2016-12-22;8.824
2017;2017-01-05;9.34;2017-08-21;6.022
2018;2018-01-23;7.908;2018-05-31;5.698
2019;2019-05-06;8.552;2019-08-14;6.964
2020;2020-09-18;14.482;2020-03-18;6.95
2021;2021-07-02;15.058;2021-03-18;11.596
2022;2022-01-03;13.05;2022-03-07;9.654
2023;2023-08-23;14.554;2023-01-05;10.322
2024;2024-08-21;16.842;2024-01-22;13.472
2025;2025-06-12;16.17;2025-04-04;12.36
2026;2026-06-26;15.38;2026-07-22;11.38
