# Quelle: Nasdaq, Historical Quotes RDY, abgerufen am 18.09.2026
# Kursreihe ohne Dividenden; um Split bzw. Umstellung der Notierung zurueckgerechnet.
Monatsende;Schluss
2016-09-30;9.284
2016-10-31;9.858
2016-11-30;9.346
2016-12-30;9.056
2017-01-31;9.04
2017-02-28;8.592
2017-03-31;8.03
2017-04-28;8.17
2017-05-31;7.728
2017-06-30;8.428
2017-07-31;7.318
2017-08-31;6.438
2017-09-29;7.136
2017-10-31;7.274
2017-11-30;7.004
2017-12-29;7.512
2018-01-31;6.892
2018-02-28;6.786
2018-03-29;6.538
2018-04-30;6.462
2018-05-31;5.698
2018-06-29;6.44
2018-07-31;6.246
2018-08-31;7.028
2018-09-28;6.92
2018-10-31;6.806
2018-11-30;7.688
2018-12-31;7.54
2019-01-31;7.638
2019-02-28;7.536
2019-03-29;8.1
2019-04-30;8.378
2019-05-31;7.622
2019-06-28;7.494
2019-07-31;7.362
2019-08-30;7.15
2019-09-30;7.578
2019-10-31;7.83
2019-11-29;8.144
2019-12-31;8.116
2020-01-31;8.736
2020-02-28;8.032
2020-03-31;8.066
2020-04-30;10.238
2020-05-29;10.688
2020-06-30;10.602
2020-07-31;12.16
2020-08-31;11.634
2020-09-30;13.912
2020-10-30;12.962
2020-11-30;13.118
2020-12-31;14.258
2021-01-29;12.256
2021-02-26;11.994
2021-03-31;12.278
2021-04-30;13.804
2021-05-28;14.274
2021-06-30;14.702
2021-07-30;12.51
2021-08-31;12.842
2021-09-30;13.028
2021-10-29;12.288
2021-11-30;12.488
2021-12-31;13.082
2022-01-31;11.5
2022-02-28;10.684
2022-03-31;11.146
2022-04-29;10.736
2022-05-31;11.07
2022-06-30;11.078
2022-07-29;10.3
2022-08-31;10.458
2022-09-30;10.468
2022-10-31;10.862
2022-11-30;11.262
2022-12-30;10.35
2023-01-31;10.76
2023-02-28;10.45
2023-03-31;11.386
2023-04-28;12.092
2023-05-31;11.038
2023-06-30;12.622
2023-07-31;13.736
2023-08-31;13.596
2023-09-29;13.374
2023-10-31;13.026
2023-11-30;13.98
2023-12-29;13.916
2024-01-31;14.39
2024-02-29;15.356
2024-03-28;14.67
2024-04-30;14.694
2024-05-31;13.736
2024-06-28;15.238
2024-07-31;16.256
2024-08-30;16.694
2024-09-30;15.89
2024-10-31;14.78
2024-11-29;14.14
2024-12-31;15.79
2025-01-31;13.82
2025-02-28;12.78
2025-03-31;13.19
2025-04-30;13.92
2025-05-30;14.72
2025-06-30;15.03
2025-07-31;14.22
2025-08-29;14.2
2025-09-30;13.98
2025-10-31;13.29
2025-11-28;14.05
2025-12-31;14.04
2026-01-30;13.42
2026-02-27;14.38
2026-03-31;13.85
2026-04-30;13.64
2026-05-29;13.63
2026-06-30;14.49
2026-07-31;11.85
2026-08-31;12.13
2026-09-17;12.19
