# Quelle: Nasdaq, Historical Quotes AZN, abgerufen am 18.09.2026
# Kursreihe ohne Dividenden; um Split bzw. Umstellung der Notierung zurueckgerechnet.
# S = Jahresschluss, H = Jahreshoechstkurs, T = Jahrestiefstkurs
datum,kurs,art
2016-09-30,67.30,H
2016-12-08,49.89,T
2016-12-30,53.87,S
2017-02-06,52.10,T
2017-06-02,68.63,H
2017-12-29,64.56,S
2018-03-08,62.82,T
2018-11-14,82.60,H
2018-12-31,73.40,S
2019-01-28,69.40,T
2019-12-23,102.46,H
2019-12-31,101.00,S
2020-03-16,76.00,T
2020-07-17,120.85,H
2020-12-31,101.00,S
2021-03-04,94.71,T
2021-11-04,129.92,H
2021-12-31,115.85,S
2022-04-18,141.57,H
2022-09-26,104.50,T
2022-12-30,136.22,S
2023-04-24,153.10,H
2023-10-27,121.45,T
2023-12-29,134.45,S
2024-02-12,120.66,T
2024-08-30,175.00,H
2024-12-31,130.00,S
2025-04-10,128.91,T
2025-11-26,188.50,H
2025-12-31,175.50,S
2026-02-17,209.48,H
2026-08-04,155.62,T
2026-09-17,166.14,S
