# Quelle: Nasdaq, Historical Quotes RDY, abgerufen am 18.09.2026
# Kursreihe ohne Dividenden; um Split bzw. Umstellung der Notierung zurueckgerechnet.
# S = Jahresschluss, H = Jahreshoechstkurs, T = Jahrestiefstkurs
datum,kurs,art
2016-11-01,9.93,H
2016-12-22,8.82,T
2016-12-30,9.06,S
2017-01-05,9.34,H
2017-08-21,6.02,T
2017-12-29,7.51,S
2018-01-23,7.91,H
2018-05-31,5.70,T
2018-12-31,7.54,S
2019-05-06,8.55,H
2019-08-14,6.96,T
2019-12-31,8.12,S
2020-03-18,6.95,T
2020-09-18,14.48,H
2020-12-31,14.26,S
2021-03-18,11.60,T
2021-07-02,15.06,H
2021-12-31,13.08,S
2022-01-03,13.05,H
2022-03-07,9.65,T
2022-12-30,10.35,S
2023-01-05,10.32,T
2023-08-23,14.55,H
2023-12-29,13.92,S
2024-01-22,13.47,T
2024-08-21,16.84,H
2024-12-31,15.79,S
2025-04-04,12.36,T
2025-06-12,16.17,H
2025-12-31,14.04,S
2026-06-26,15.38,H
2026-07-22,11.38,T
2026-09-17,12.19,S
