horizon,type,entreprise,identifiant,magazine,date,page,note,cours,objectif,stop,risque,horizon_verbatim,raison,citation,controle,ticker,date_entree
long,sélection annuelle,Air Liquide,FR 000 012007 3,Capital 10/2026,2026-10,85,"50 Aktien fürs Leben, rang 01",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Industriegase, Frankreich) : rendement du dividende 2,0 %, taux de distribution 61 %, PER 26,0, rendement total 10,6 % par an sur 25 ans.",,ok,AI.PA,2026-09-14
long,sélection annuelle,Assa Abloy,SE 000 710058 1,Capital 10/2026,2026-10,85,"50 Aktien fürs Leben, rang 02",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Baumaterialien, Schweden) : rendement du dividende 1,8 %, taux de distribution 48 %, PER 22,6, rendement total 10,6 % par an sur 25 ans.",,ok,ASSA-B.ST,2026-09-14
long,sélection annuelle,Atmos Energy,US 049 560105 8,Capital 10/2026,2026-10,85,"50 Aktien fürs Leben, rang 03",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Gasversorger, USA) : rendement du dividende 2,5 %, taux de distribution 46 %, PER 20,0, rendement total 12,3 % par an sur 25 ans.",,ok,ATO,2026-09-14
long,sélection annuelle,BAE Systems,GB 000 263494 6,Capital 10/2026,2026-10,85,"50 Aktien fürs Leben, rang 04",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Luftfahrt/Rüstung, Großbritannien) : rendement du dividende 1,8 %, taux de distribution 53 %, PER 25,0, rendement total 11,8 % par an sur 25 ans.",,ok,BA.L,2026-09-14
long,mise à jour,BE Semiconductor,GD50,Börse Online 27/2026,2026-06-26,60,K AUFEN,"303,00 €","365,00 €","258,00 €",Hoch,langfristig,La société améliore ses objectifs à long terme grâce aux perspectives de croissance dans les applications IA et l'hybrid bonding.,Angesichts der Wachstumsaussichten ist die Aktie trotz des starken Kursverlaufs weiter kaufenswert.,ok,BESI.AS,2026-06-26
long,sélection annuelle,Canadian National Railway,CA 136 375102 7,Capital 10/2026,2026-10,85,"50 Aktien fürs Leben, rang 05",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Schienenverkehr, Kanada) : rendement du dividende 2,2 %, taux de distribution 47 %, PER 21,9, rendement total 13,5 % par an sur 25 ans.",,ok,CNR.TO,2026-09-14
long,sélection annuelle,Canon,JP 324 280000 5,Capital 10/2026,2026-10,85,"50 Aktien fürs Leben, rang 06",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Hardware, Japan) : rendement du dividende 3,6 %, taux de distribution 43 %, PER 12,3, rendement total 6,1 % par an sur 25 ans.",,ok,7751.T,2026-09-14
long,sélection annuelle,Cincinnati Financial,US 172 062101 0,Capital 10/2026,2026-10,85,"50 Aktien fürs Leben, rang 07",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Sachversicherung, USA) : rendement du dividende 2,2 %, taux de distribution 23 %, PER 20,5, rendement total 9,9 % par an sur 25 ans.",,ok,CINF,2026-09-14
long,sélection annuelle,Consolidated Edison,US 209 115104 1,Capital 10/2026,2026-10,85,"50 Aktien fürs Leben, rang 08",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Versorger, USA) : rendement du dividende 3,3 %, taux de distribution 60 %, PER 17,7, rendement total 8,5 % par an sur 25 ans.",,ok,ED,2026-09-14
long,sélection annuelle,Cranswick,GB 000 231888 8,Capital 10/2026,2026-10,85,"50 Aktien fürs Leben, rang 09",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Lebensmittel, Großbritannien) : rendement du dividende 2,4 %, taux de distribution 39 %, PER 17,1, rendement total 15,3 % par an sur 25 ans.",,ok,CWK.L,2026-09-14
