ticker,titre,numeros,sources,magazines_differents,types,horizon,potentiel_objectif,raison_recente,premiere,derniere
TTE.PA,Totalenergies,4,Börse Online 27/2026 p. 58; Börse Online 33/2026 p. 26; Euro 10/2026 p. 37; Börse Online 39/2026 p. 110,2,"confirmée, mise à jour, nouvelle, sélection",Horizon non précisé,+25 % (Börse Online 39/2026),L'action française TotalEnergies attaque un niveau de résistance prometteur. Un signal d'achat technique sur charte suggère une hausse potentielle vers 100 euros.,2026-06-26,2026-09-18
ALV.DE,Allianz,3,Euro 07/2026 p. 87; Börse Online 27/2026 p. 41; Euro 10/2026 p. 60,2,"confirmée, sélection",Horizon non précisé,+11 % (Börse Online 27/2026),Leader européen de l'assurance avec un modèle robuste et une forte rentabilité. La dividende est stable depuis 16 ans.,2026-06-03,2026-09-09
BAS.DE,BASF,3,Börse Online 33/2026 p. 37; Euro 10/2026 p. 60; Börse Online 39/2026 p. 40,2,"confirmée, sélection",Horizon non précisé,+36 % (Börse Online 39/2026),Le magazine recommande d'acheter en raison des rachats d'actions massifs financés par la vente de son activité Coating et du retour à un free cashflow positif attendu.,2026-08-07,2026-09-18
DB1.DE,Deutsche Börse,3,Börse Online 33/2026 p. 22; Euro 10/2026 p. 61; Börse Online 39/2026 p. 8,2,"confirmée, sélection",Horizon non précisé,+7 % (Börse Online 39/2026),La fusion entre Deutsche Börse et Euronext est stratégiquement pertinente malgré les risques de blocage par l'UE.,2026-08-07,2026-09-18
TKA.DE,Thyssenkrupp,3,Börse Online 27/2026 p. 62; Börse Online 33/2026 p. 37; Euro 10/2026 p. 62,2,"confirmée, sélection",Horizon non précisé,+40 % (Börse Online 33/2026),Recommandation Euro pour ThyssenKrupp dans le contexte de la reprise en Europe et des signaux positifs.,2026-06-26,2026-09-09
DTE.DE,Deutsche Telekom,2,Euro 10/2026 p. 81; Börse Online 39/2026 p. 40,2,"confirmée, sélection",Horizon non précisé,+18 % (Börse Online 39/2026),Le titre est recommandé car il se trouve sous sa valeur intrinsèque et fait partie des plus grandes valeurs du DAX.,2026-09-09,2026-09-18
FME.DE,Fresenius Medical Care,2,Euro 07/2026 p. 80; Börse Online 27/2026 p. 110,2,"nouvelle, sélection",Horizon non précisé,+26 % (Börse Online 27/2026),La technique chartiste indique un changement de tendance durable à la hausse avec une opportunité d'achat au-dessus du support clé.,2026-06-03,2026-06-26
FPE3.DE,Fuchs,2,Börse Online 27/2026 p. 19; Capital 10/2026 p. 87,2,"confirmée, sélection annuelle","Horizon non précisé, Long terme",+30 % (Börse Online 27/2026),"Valeur de qualité retenue pour la durée (Chemie, Deutschland) : rendement du dividende 3,2 %, taux de distribution 52 %, PER 15,5, rendement total 19,1 % par an sur 25 ans.",2026-06-26,2026-09-14
IBE.MC,Iberdrola,2,Börse Online 33/2026 p. 26; Euro 10/2026 p. 90,2,"confirmée, sélection",Horizon non précisé,+21 % (Börse Online 33/2026),Investissement dans les infrastructures et énergies renouvelables.,2026-08-07,2026-09-09
LIN,Linde,2,Börse Online 33/2026 p. 63; Euro 10/2026 p. 90,2,"confirmée, sélection",Horizon non précisé,+19 % (Börse Online 33/2026),Investissement dans les infrastructures.,2026-08-07,2026-09-09
MUV2.DE,Münchener Rück,2,Euro 10/2026 p. 36; Capital 10/2026 p. 88,2,"sélection, sélection annuelle","Horizon non précisé, Long terme",,"Valeur de qualité retenue pour la durée (Rückversicherung, Deutschland) : rendement du dividende 5,0 %, taux de distribution 51 %, PER 10,1, rendement total 5,6 % par an sur 25 ans.",2026-09-09,2026-09-14
NOVN.SW,Novartis,2,Euro 10/2026 p. 36; Capital 10/2026 p. 88,2,"sélection, sélection annuelle","Horizon non précisé, Long terme",,"Valeur de qualité retenue pour la durée (Pharma, Schweiz) : rendement du dividende 3,0 %, taux de distribution 64 %, PER 18,0, rendement total 7,6 % par an sur 25 ans.",2026-09-09,2026-09-14
TKMS.DE,Thyssenkrupp Marine Systems,2,Börse Online 27/2026 p. 8; Euro 10/2026 p. 62,2,"nouvelle, sélection",Horizon non précisé,+39 % (Börse Online 27/2026),Recommandation Euro pour TKMS avec un potentiel de hausse d'environ 50% selon Bernstein.,2026-06-26,2026-09-09
8TRA.DE,Traton,2,Börse Online 33/2026 p. 31; Euro 10/2026 p. 62,2,"confirmée, sélection",Horizon non précisé,+47 % (Börse Online 33/2026),Recommandation Euro pour Traton suite à la forte augmentation des commandes et diversification internationale.,2026-08-07,2026-09-09
VZ,Verizon,2,Euro 10/2026 p. 37; Capital 10/2026 p. 91,2,"sélection, sélection annuelle","Horizon non précisé, Long terme",,"Valeur de qualité retenue pour la durée (Telekommunikation, USA) : rendement du dividende 6,1 %, taux de distribution 66 %, PER 10,0, rendement total 6,2 % par an sur 25 ans.",2026-09-09,2026-09-14
BAYN.DE,Bayer,2,Börse Online 27/2026 p. 64; Börse Online 33/2026 p. 45,1,"confirmée, nouvelle",Horizon non précisé,+12 % (Börse Online 33/2026),"Bayer investit dans l'innovation et les produits à haut rendement. La valorisation est modérée avec un PER de 15,8.",2026-06-26,2026-08-07
MLP.DE,MLP,2,Börse Online 33/2026 p. 55; Börse Online 39/2026 p. 56,1,confirmée,Horizon non précisé,+22 % (Börse Online 39/2026),L'entreprise profite d'une forte croissance des bénéfices et de la réforme du système de retraite. Une augmentation probable du dividende renforce l'attrait.,2026-08-07,2026-09-18
