ticker,titre,magazines
2503.T,Kirin Holdings,Capital 10/2026
4063.T,Shin-Etsu Chemical,Capital 10/2026
4507.T,Shionogi,Capital 10/2026
4536.T,Santen,Capital 10/2026
7012.T,Kawasaki Heavy Industries,Euro 10/2026
7751.T,Canon,Capital 10/2026
8088.T,Iwatani,Euro 10/2026
8306.T,Mitsubishi UFJ Financial Group,Euro 07/2026
8725.T,MS & AD Insurance,Euro 07/2026
8801.T,Mitsui Fudosan,Euro 07/2026
8TRA.DE,Traton,Börse Online 33/2026
9007.T,Odakyu Electric Railway,Capital 10/2026
9020.T,East Japan Railway,Capital 10/2026
9022.T,Central Japan Railway,Euro 07/2026
9432.T,NTT,Capital 10/2026
9433.T,KDDI,Capital 10/2026
9532.T,Osaka Gas,Capital 10/2026
AAPL,Apple,Börse Online 27/2026
ABI.BR,AB Inbev,Börse Online 33/2026
ADP,ADP,Euro 10/2026
AG1.DE,Auto1 Group,Börse Online 27/2026
AI.PA,Air Liquide,Capital 10/2026
AIR.PA,AIRBUS,Börse Online 39/2026
ALC.SW,Alcon,Capital 07/2026
ALV.DE,Allianz,Börse Online 27/2026
AMG.AS,AMG CRITICAL MATERIALS,Börse Online 27/2026
AOF.DE,ATOSS SOFTWARE,Börse Online 33/2026
ARCT,Arcturus Therapeutics,Börse Online 39/2026
ASMDEE-B.ST,Asmodee Group AB,Börse Online 39/2026
ASSA-B.ST,Assa Abloy,Capital 10/2026
ATM.NZ,A2 Milk,Capital 07/2026
ATO,Atmos Energy,Capital 10/2026
AUTL,Autolus Therapeutics,Börse Online 39/2026
BA,Boeing,Börse Online 27/2026
BA.L,BAE Systems,Capital 10/2026
BANB.SW,Bachem,Börse Online 39/2026
BAS.DE,BASF,Börse Online 33/2026; Börse Online 39/2026; Euro 10/2026
BAYN.DE,Bayer,Börse Online 27/2026; Börse Online 33/2026
BE,Bloom Energy,Euro 10/2026
BEAM,Beam Therapeutics,Börse Online 39/2026
BESI.AS,BE Semiconductor,Börse Online 27/2026
BFSA.DE,Befesa,Börse Online 33/2026
BION.SW,BB Biotech,Börse Online 27/2026
BKNG,Booking Holdings,Capital 07/2026
BMY,Bristol-Myers Squibb,Börse Online 33/2026
BNN.DE,BRAIN BIOTECH,Börse Online 39/2026
BNTX,BioNTech,Börse Online 39/2026
BSLN.SW,Basilea Pharmaceutica,Börse Online 39/2026
BSX,Boston Scientific,Capital 07/2026
BXP,Boston Properties,Börse Online 27/2026
CA.PA,Carrefour,Börse Online 33/2026
CDP,COPT Defense Properties,Börse Online 27/2026
CINF,Cincinnati Financial,Capital 10/2026
CNR.TO,Canadian National Railway,Capital 10/2026
COLR.BR,Colruyt Group NV,Börse Online 33/2026
COTN.SW,Comet Holding,Euro 10/2026
CRSP,Crispr Therapeutics,Börse Online 39/2026
CRWD,CrowdStrike,Börse Online 39/2026
CS.PA,AXA,Börse Online 39/2026
CUZ,Cousins Properties,Börse Online 27/2026
CWC.DE,CEWE STIFTUNG,Börse Online 39/2026
CWK.L,Cranswick,Capital 10/2026
D05.SI,DBS Group,Euro 10/2026
DB1.DE,Deutsche Börse,Börse Online 33/2026; Börse Online 39/2026
DBD,Diebold Nixdorf,Börse Online 27/2026
DBK.DE,Deutsche Bank,Börse Online 33/2026
DE,Deere,Börse Online 33/2026
DEZ.DE,Deutz,Börse Online 33/2026
DG.PA,Vinci,Euro 10/2026
DTE,DTE Energy,Capital 10/2026
DTE.DE,Deutsche Telekom,Börse Online 39/2026
DTG.DE,Daimler Truck,Börse Online 39/2026
ECL,Ecolab,Capital 07/2026
ED,Consolidated Edison,Capital 10/2026
EG,Everest Group,Capital 10/2026
EL.PA,Essilor (später EssilorLuxottica),Börse Online 27/2026
ENR.DE,Siemens Energy,Euro 10/2026
ENX.PA,Euronext,Börse Online 33/2026
EOG,EOG Resources,Capital 10/2026
EQNR.OL,Equinor,Börse Online 39/2026
ETR,Entergy,Capital 10/2026
EVD.DE,CTS Eventim,Capital 07/2026
FAST,Fastenal,Euro 10/2026
FDS,FactSet Research Systems,Börse Online 33/2026
FME.DE,Fresenius Medical Care,Börse Online 27/2026
FPE3.DE,Fuchs,Börse Online 27/2026; Capital 10/2026
FRE.DE,Fresenius,Capital 10/2026
FRO,Frontline,Euro 10/2026
FSLR,First Solar,Euro 10/2026
G1A.DE,GEA Group,Börse Online 27/2026
G24.DE,Scout24,Börse Online 39/2026
GILD,Gilead Sciences,Börse Online 39/2026
GOOGL,Alphabet (Google Cloud),Börse Online 33/2026
GTT.PA,GTT,Börse Online 27/2026
GXI.DE,Gerresheimer,Börse Online 39/2026
HAG.DE,Hensoldt,Börse Online 33/2026
HAL,Halliburton,Capital 10/2026
HBH.DE,Hornbach Holding,Börse Online 39/2026
HOOD,Robinhood,Börse Online 27/2026
HST,Host Hotels and Resorts,Börse Online 27/2026
IBE.MC,Iberdrola,Börse Online 33/2026; Euro 10/2026
ICL,ICL Group,Börse Online 33/2026
IDXX,Idexx Laboratories,Capital 07/2026
IPN.PA,Ipsen,Börse Online 27/2026
IRDM,Iridium Communications,Börse Online 27/2026
ISRG,Intuitive Surgical,Capital 07/2026
JEN.DE,Jenoptik,Börse Online 33/2026
JNJ,Johnson & Johnson,Euro 10/2026
KRZ.IR,Kerry Group,Capital 10/2026
KSB3.DE,KSB,Börse Online 27/2026
KWS.DE,KWS Saat,Börse Online 33/2026
LEGN,Legend Biotech,Börse Online 39/2026
LIN,Linde,Börse Online 33/2026; Euro 10/2026
LMT,Lockheed Martin,Capital 10/2026
M12.DE,M1 Kliniken,Börse Online 39/2026
MC.PA,LVMH,Capital 10/2026
MET,Metlife,Capital 10/2026
MKC,McCormick & Co.,Capital 10/2026
MLP.DE,MLP,Börse Online 33/2026; Börse Online 39/2026
MO,Altria,Euro 10/2026
MRK,Merck & Co.,Börse Online 39/2026
MRU.TO,Metro,Capital 10/2026
MRVL,Marvell Technology Group,Börse Online 27/2026
MTB,M&T Bank,Capital 10/2026
MTRS.ST,Munters Group,Euro 10/2026
MUV2.DE,MUNICH RE / Münchener Rück,Capital 10/2026; Euro 10/2026
MUX.DE,Mutares,Börse Online 33/2026
NEE,NextEra Energy,Capital 10/2026
NESN.SW,Nestlé,Börse Online 33/2026; Börse Online 39/2026
NFLX,Netflix,Capital 07/2026
NOC,Northrop Grumman,Capital 10/2026
NOVN.SW,Novartis,Capital 10/2026
NTAP,Netapp,Börse Online 39/2026
NTLA,Intellia Therapeutics,Börse Online 39/2026
NXT.L,Next,Capital 10/2026
OERL.SW,OC Oerlikon,Börse Online 39/2026
OXY,Occidental Petroleum,Capital 10/2026
P4O.DE,Planoptik,Börse Online 39/2026
PLD,PROLOGIS,Euro 10/2026
PPG,PPG Industries,Capital 10/2026
PUB.PA,Publicis,Capital 10/2026
RBI.VI,RAIFFEISEN INTERNATIONAL,Börse Online 33/2026
REY.MI,Reply SpA,Börse Online 27/2026
RI.PA,Pernod Ricard,Börse Online 33/2026
RIO.L,Rio Tinto,Börse Online 33/2026
RMD,Resmed,Capital 07/2026
RPM,RPM International,Capital 10/2026
RR.L,Rolls-Royce,Börse Online 33/2026
RWE.DE,RWE,Börse Online 27/2026; Börse Online 33/2026
SAN.PA,Sanofi,Börse Online 33/2026
SAND.ST,Sandvik,Euro 10/2026
SEM.VI,Semperit,Börse Online 39/2026
SIE.DE,Siemens,Euro 10/2026
SLB,SLB,Capital 10/2026
SLF.TO,Sun Life Financial,Capital 10/2026
SNA,Snap-on,Capital 10/2026
SPCX,SpaceX,Börse Online 33/2026
SU.PA,Schneider Electric,Euro 10/2026
SU.TO,Suncor Energy,Capital 10/2026
SUBC.OL,Subsea 7,Börse Online 39/2026
TGHN.DE,Logwin,Börse Online 27/2026
TKA.DE,Thyssenkrupp / Thyssenkrupp/TKMS,Börse Online 27/2026; Börse Online 33/2026; Euro 10/2026
TKMS.DE,TKMS / Thyssenkrupp Marine Systems,Börse Online 27/2026; Euro 10/2026
TLX.DE,Talanx,Börse Online 27/2026
TNIE.DE,Tonies,Börse Online 27/2026
TNK,Teekay Tankers,Börse Online 39/2026
TRI.TO,Thomson Reuters,Capital 07/2026
TRMB,Trimble,Capital 07/2026
TTE.PA,Totalenergies,Börse Online 27/2026; Börse Online 39/2026
TYL,Tyler Technologies,Capital 07/2026
