Symbol,Security Name,Market Category,Trigger Time
AUROW,Aurora Innov Inc Wts,Q,8/20/2026 9:30:00 AM
OSRHW,"OSR Health, Inc. Warrant",R,8/20/2026 9:30:00 AM
LGCL,Lucas GC Limited Cl A OS,R,8/20/2026 9:30:00 AM
SLSN,Solesence Cmn,R,8/20/2026 9:30:00 AM
ONFO,Onfolio Holdings Inc. Cm St,R,8/20/2026 9:30:00 AM
TNON,Tenon Medical Inc Cm,R,8/20/2026 9:30:00 AM
MRNA,"Moderna, Inc. Common Stock",Q,8/20/2026 9:30:00 AM
RNWWW,ReNew Energy Global plc Wt,Q,8/20/2026 9:30:00 AM
DAICW,"CID HoldCo, Inc. Warrants",Q,8/20/2026 9:30:00 AM
WFF,WF Hldg Ltd Ord,R,8/20/2026 9:30:00 AM
AZI,Autozi Internet Tech Cl A OS,R,8/20/2026 9:30:00 AM
GRML,Greenland Mines Ltd Cmn Stk,R,8/20/2026 9:30:00 AM
ZSTK,ZeroStack Corp. CS,R,8/20/2026 9:30:00 AM
RDAC,Rising Dragon Acq Cp Ord,R,8/20/2026 9:30:00 AM
BZFDW,"BuzzFeed, Inc. Wts",R,8/20/2026 9:30:00 AM
DBGI,"Digital Brands Group, Inc. Cm",R,8/20/2026 9:30:00 AM
MSS,Maison Solutions Inc. Cl A Cm,R,8/20/2026 9:30:00 AM
SMST,Def Dly Tg 2x Sh MSTR,Q,8/20/2026 9:30:00 AM
FTFT,Future FinTech Group Inc.,R,8/20/2026 9:30:00 AM
QTEX,QTREX Quantum Ltd. Ord Shs,R,8/20/2026 9:30:01 AM
OSRH,"OSR Health, Inc. Comm Stock",R,8/20/2026 9:30:01 AM
ODYS,Odysight.ai Inc. Common Stock,R,8/20/2026 9:30:01 AM
CONI,GraniteShs 2x Sh COIN,Q,8/20/2026 9:30:01 AM
CDTTW,CDT Equity Inc. Warrant,R,8/20/2026 9:30:01 AM
CISS,C3is Inc. Common Stock,R,8/20/2026 9:30:01 AM
FGL,Founder Group Ltd Cl A Ord Shs,R,8/20/2026 9:30:01 AM
RCKTW,"Rocket Pharmaceuticals, Inc.",R,8/20/2026 9:30:01 AM
ZNB,Zeta Network Group Class A Ord,R,8/20/2026 9:30:01 AM
LPAAW,Launch One Acq Warrant,Q,8/20/2026 9:30:01 AM
RYOJ,rYojbaba Co Cmn Shs,R,8/20/2026 9:30:01 AM
TNONW,Tenon Med Inc Wt,R,8/20/2026 9:30:01 AM
SURG,"SurgePays, Inc. Cm St",R,8/20/2026 9:30:01 AM
BTOG,Bit Origin Limited Cl A Ord Sh,R,8/20/2026 9:30:01 AM
BIAF,"bioAffinity Technologies, Cm",R,8/20/2026 9:30:01 AM
FDMMW,Freedom Metals Acq Warrant,Q,8/20/2026 9:30:01 AM
HVII,Hennessy Cap Invest Corp OS,Q,8/20/2026 9:30:01 AM
AIXI,XIAO-I Corporation,Q,8/20/2026 9:30:01 AM
GDEVW,GDEV Inc. Wt,Q,8/20/2026 9:30:01 AM
KRKR,36Kr Holdings Inc. ADS,R,8/20/2026 9:30:01 AM
LGHL,Lion Group Holding Ltd. ADS,R,8/20/2026 9:30:01 AM
YJ,Yunji Inc. ADS,R,8/20/2026 9:30:01 AM
BABX,GrShs 2x Lg BABA Dly,Q,8/20/2026 9:30:07 AM
MGN,Megan Holdings Ltd Cl A Ord Sh,R,8/20/2026 9:30:18 AM
CIRC,Circle8 Group Inc Common Stock,Q,8/20/2026 9:30:22 AM
PUR,Df Dly Tg 2XLg PURR,Q,8/20/2026 9:30:45 AM
PFSA,"Profusa, Inc.",R,8/20/2026 9:30:50 AM
KBAB,KraneShares Trust,Q,8/20/2026 9:30:52 AM
BABU,Direxion BABA 2x Bull ETF,Q,8/20/2026 9:30:53 AM
GLMD,Galmed Pharmaceuticals Ltd,R,8/20/2026 9:31:05 AM
RDACR,Rising Dragon Acq Rts,R,8/20/2026 9:31:21 AM
BGM,BGM Group Ltd. Class A Ord Shs,R,8/20/2026 9:31:32 AM
CNET,ZW Data Action Techno,R,8/20/2026 9:31:49 AM
BAOS,Baosheng Media Group OS,R,8/20/2026 9:32:03 AM
SMCZ,Def Dly Tg 2x Sh SMCI,Q,8/20/2026 9:32:16 AM
FWACR,Futurewave Acquisition Rt,R,8/20/2026 9:32:27 AM
SKDD,GraniteShs 2x Shrt SK Hyn Dly,Q,8/20/2026 9:32:51 AM
EDSA,Edesa Biotech Cm Shs,R,8/20/2026 9:32:53 AM
JBSS,John B Sanfilippo & Son Inc,Q,8/20/2026 9:32:55 AM
AIXC,"AIxCrypto Holdings, Inc. Cmn",R,8/20/2026 9:33:15 AM
ELOG,Eastern International Ord Sh,R,8/20/2026 9:34:26 AM
JAGX,"Jaguar Health, Inc. Cmn",R,8/20/2026 9:35:07 AM
BBBYW,Neighborhood Intelligence Wts,Q,8/20/2026 9:35:17 AM
DSYWW,Big Tree Cloud Hlds Ltd Wts,R,8/20/2026 9:35:19 AM
CLIR,ClearSign Technologies Corp,R,8/20/2026 9:35:43 AM
EYPT,"EyePoint, Inc. Common Stock",Q,8/20/2026 9:36:03 AM
NTWOW,Newbury Street II Acq Warrant ,Q,8/20/2026 9:38:39 AM
MASK,3 E Ntwk Tech Gp Ord A,R,8/20/2026 9:39:03 AM
NBP,NovaBridge Biosciences ADS,Q,8/20/2026 9:39:06 AM
SXTC,China SXT Pharma Class A Ords,R,8/20/2026 9:40:23 AM
YYAI,AiRWA Inc. Common Stock,R,8/20/2026 9:40:51 AM
TWLVR,Twelve Seas Inv Co III Rt,Q,8/20/2026 9:41:18 AM
SABSW,SAB Biotherapeutics Wt,R,8/20/2026 9:42:20 AM
PWCM,PowerCompute Inc Cmn,R,8/20/2026 9:45:18 AM
MPG,Thm Lvg Shs 2X lg MP,Q,8/20/2026 9:45:29 AM
NWGL,CL Workshop Group Limited ADS,R,8/20/2026 9:45:41 AM
PSIG,PS International Gp Ltd Ord Sh,R,8/20/2026 9:46:43 AM
ZTG,Zenta Grp Cp Ltd Ord A,R,8/20/2026 9:46:56 AM
UCL,uCloudlink Group Inc. ADS,Q,8/20/2026 9:47:03 AM
YDES,YD Bio Limited Ordinary Shares,Q,8/20/2026 9:47:53 AM
CXAIW,CXApp Inc. Warrant,R,8/20/2026 9:48:39 AM
USGG,Thm LvgShs 2Xlg USAR Dly,Q,8/20/2026 9:49:10 AM
ARQQW,Arqit Quantum Inc. Wt,R,8/20/2026 9:50:41 AM
EJH,E-Home Hshld Ltd Srv Ord Shs,R,8/20/2026 9:50:49 AM
PMEC,Primech Holdings Ltd. Os,R,8/20/2026 9:51:21 AM
YYGH,YY Group Holding Limited,R,8/20/2026 9:52:31 AM
NBIL,GraniteShares ETF 2X Lng NBIS,Q,8/20/2026 9:53:03 AM
EXYN,"Exyn Technologies, Inc. Cmn ",R,8/20/2026 9:53:52 AM
ONDG,Thm LvgShs 2Xlg ONDS Dly,Q,8/20/2026 9:54:33 AM
NUR,Nuran Wireless Cmn Shs,R,8/20/2026 9:55:14 AM
OFAL,OFA Group Ord A,R,8/20/2026 9:55:40 AM
OLOX,Olenox Industries Inc Cmn,R,8/20/2026 9:56:35 AM
LESL,"Leslies, Inc. Cm St",Q,8/20/2026 9:57:02 AM
