ticker,nom,secteur,score,C1_CA_Growth,C1_ok,C2_Marge,C2_ok,C3_Valorisation,C3_ok,C4_Momentum,C4_ok,C5_Volume,C5_ok
DDD,3D Systems Corporation,Technology,3,1.1%,False,34.5%,True,2/3 proxies,True,42.7%,True,0.94x,False
HTCO,High-Trend International Group,Industrials,3,56.8%,True,3.2%,False,1/3 proxies,False,22.2%,True,2.68x,True
AG,First Majestic Silver Corp.,Basic Materials,2,169.2%,True,55.2%,True,0/3 proxies,False,1.7%,False,0.66x,False
GMAB,Genmab A/S,Healthcare,2,25.3%,True,93.3%,True,1/3 proxies,False,-9.9%,False,1.0x,False
NTES,"NetEase, Inc.",Communication Services,2,3.0%,False,64.3%,True,3/3 proxies,True,-0.3%,False,0.85x,False
ZS,"Zscaler, Inc.",Technology,2,25.9%,True,76.6%,True,1/3 proxies,False,-14.5%,False,1.01x,False
ERO,Ero Copper Corp.,Basic Materials,2,110.4%,True,42.8%,True,1/3 proxies,False,1.2%,False,0.76x,False
HBM,Hudbay Minerals Inc.,Basic Materials,2,27.3%,True,55.3%,True,1/3 proxies,False,2.6%,False,0.88x,False
CMCL,Caledonia Mining Corporation Pl,Basic Materials,2,13.9%,False,60.5%,True,2/3 proxies,True,-17.3%,False,0.46x,False
ADAM,"Adamas Trust, Inc.",Real Estate,2,10.7%,False,75.0%,True,1/3 proxies,False,14.8%,True,1.11x,False
ANIP,"ANI Pharmaceuticals, Inc.",Healthcare,2,20.5%,True,60.8%,True,1/3 proxies,False,4.3%,False,0.95x,False
TRVG,trivago N.V.,Communication Services,2,15.1%,False,96.8%,True,2/3 proxies,True,5.3%,False,1.17x,False
BLNK,Blink Charging Co.,Industrials,1,-3.4%,False,28.6%,False,1/3 proxies,False,31.4%,True,0.93x,False
APD,"Air Products and Chemicals, Inc",Basic Materials,1,8.8%,False,32.0%,True,0/3 proxies,False,4.2%,False,0.78x,False
FABC,"Fabric.AI, Inc.",Consumer Cyclical,1,N/A,False,0.0%,False,1/3 proxies,False,105.7%,False,2.83x,True
BLNK,Blink Charging Co.,Industrials,1,-3.4%,False,28.6%,False,1/3 proxies,False,31.4%,True,0.93x,False
