Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,Volume moyen,Fiabilite,detection_time
AMD,VENTE,-1.0,,Baisse,77.19,Technology,,0.0,2025-07-18 11:15:29
ENR.DE,ACHAT,5.2,93.55999755859376,Hausse,57.6,Industrials,1729499.8,0.0,2025-07-18 11:15:29
ETOR,VENTE,-1.0,56.810001373291016,Baisse,46.59,Financial Services,,0.0,2025-07-18 14:39:28
ETOR,VENTE,-1.0,57.098899841308594,Baisse,47.07,Financial Services,,0.0,2025-07-18 14:06:59
ETOR,VENTE,-1.0,57.04499816894531,Baisse,46.98,Financial Services,,0.0,2025-07-18 13:56:14
ETOR,VENTE,-1.0,57.07500076293945,Baisse,47.03,Financial Services,,0.0,2025-07-18 13:50:38
ETOR,VENTE,-1.0,57.375,Baisse,47.55,Financial Services,,0.0,2025-07-18 13:08:59
ETOR,VENTE,-1.0,57.595001220703125,Baisse,47.93,Financial Services,,0.0,2025-07-18 12:51:31
ETOR,ACHAT,7.75,60.3849983215332,Hausse,49.46,Financial Services,1676283.8,0.0,2025-07-18 10:40:32
GLD,ACHAT,7.0,308.7799987792969,Hausse,52.91,ℹ️Inconnu!!,9332755.2,66.66666666666666,2025-07-18 13:08:59
GLD,ACHAT,7.0,308.9898986816406,Hausse,53.17,ℹ️Inconnu!!,9325859.7,66.66666666666666,2025-07-18 12:51:31
GLD,ACHAT,7.0,309.1400146484375,Hausse,53.36,ℹ️Inconnu!!,9321295.53,66.66666666666666,2025-07-18 12:40:37
GLD,ACHAT,7.0,308.8700866699219,Hausse,53.02,ℹ️Inconnu!!,9290483.1,100.0,2025-07-18 11:22:05
GLD,ACHAT,5.7,308.79949951171875,Hausse,52.93,ℹ️Inconnu!!,9287894.13,0.0,2025-07-18 11:15:29
GOOGL,ACHAT,5.75,185.0200042724609,Hausse,64.53,Communication Services,38519338.77,100.0,2025-07-18 13:08:59
GOOGL,ACHAT,5.75,184.7700042724609,Hausse,64.27,Communication Services,38499504.63,100.0,2025-07-18 12:51:31
GOOGL,ACHAT,5.75,184.7400054931641,Hausse,64.24,Communication Services,38487627.1,100.0,2025-07-18 12:40:37
GS,ACHAT,6.625,707.47998046875,Hausse,65.41,Financial Services,2246799.97,100.0,2025-07-18 13:08:59
GS,ACHAT,5.75,706.9000244140625,Hausse,65.26,Financial Services,2245671.3,100.0,2025-07-18 12:51:31
GS,ACHAT,5.75,706.760009765625,Hausse,65.22,Financial Services,2244779.6,100.0,2025-07-18 12:40:37
GS,ACHAT,5.25,703.6900024414062,Hausse,63.89,Financial Services,2231015.83,66.66666666666666,2025-07-18 10:40:32
MP,VENTE,-1.0,,Baisse,82.3,Basic Materials,,0.0,2025-07-18 11:13:25
MSFT,VENTE,-1.0,,Baisse,75.4,Technology,,0.0,2025-07-18 11:15:29
SMSN.L,VENTE,-1.0,,Baisse,66.05,Technology,,0.0,2025-07-18 14:06:59
WELL,ACHAT,5.75,159.1300048828125,Hausse,62.28,Real Estate,3108549.1,60.0,2025-07-18 12:40:37
WELL,ACHAT,5.25,158.5,Hausse,61.27,Real Estate,3100820.5,100.0,2025-07-18 10:40:32
