Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,dPrice,dRSI,Consensus
ALAB,NEUTRE,-0.605,125.61009979248047,Hausse,51.35,Technology,1.59,3.07,Achat
ALDX,NEUTRE,-1.499,1.5449999570846558,Baisse,29.22,Healthcare,-2.09,-0.53,Achat
AVGO,NEUTRE,1.757,355.7900085449219,Hausse,63.33,Technology,1.68,4.45,Achat
ENR.DE,ACHAT,3.683,164.0,Hausse,57.92,Industrials,0.76,1.37,Achat
H2O.DE,NEUTRE,1.07,1.3049999475479126,Baisse,40.85,Industrials,-0.29,1.16,Neutre
IMNM,VENTE,-5.539,22.579999923706055,Hausse,56.37,Healthcare,1.18,2.79,Neutre
MBOT,ACHAT,5.158,2.4198999404907227,Baisse,50.49,Healthcare,-0.56,-0.88,Achat
MSTR,NEUTRE,-1.22,130.9600067138672,Hausse,48.16,Technology,0.07,0.98,Achat
NVDA,NEUTRE,1.757,183.1699981689453,Hausse,54.04,Technology,0.94,3.43,Achat
NXP,VENTE,-2.592,14.359999656677246,Hausse,52.66,Financial Services,0.07,1.33,Neutre
SEMR,NEUTRE,0.281,11.954999923706055,Hausse,66.38,Technology,0.02,0.33,Neutre
