Symbole,Signal,Score,Tendance,RSI,Domaine,dPrice,dRSI,Consensus
ABT,NEUTRE,1.3,Hausse,59.35,Healthcare,0.55,1.61,Neutre
BRO,NEUTRE,2.4,Hausse,65.8,Financial Services,1.28,2.54,Neutre
TMO,NEUTRE,4.1,Hausse,58.27,Healthcare,0.87,2.09,Neutre
ADP,NEUTRE,-4.57,Hausse,63.0,Technology,0.85,2.25,Neutre
DCI,ACHAT,2.7,Hausse,52.3,Industrials,0.37,0.91,Neutre
VEEV,ACHAT,8.48,Hausse,62.71,Healthcare,1.66,3.44,Neutre
TYL,NEUTRE,-2.7,Hausse,54.3,Technology,0.88,2.71,Neutre
ROP,NEUTRE,-4.3,Hausse,60.0,Technology,0.75,2.7,Neutre
NOW,NEUTRE,-1.14,Hausse,54.34,Technology,1.01,1.95,Neutre
DT,NEUTRE,0.23,Hausse,56.89,Technology,0.84,1.59,Neutre
COO,ACHAT,3.6,Hausse,54.9,Healthcare,0.77,1.52,Neutre
ZS,NEUTRE,-1.34,Hausse,53.13,Technology,1.46,2.61,Neutre
RMD,ACHAT,9.0,Hausse,53.02,Healthcare,0.94,3.3,Neutre
