ticker,nom,secteur,pays,devise,prix,market_cap_B,score_total,score_growth,score_safe,profil,G1_CA_Growth_%,G1_ok,G2_Marge_%,G2_ok,G3_Underval,G3_ok,G4_Momentum_%,G4_ok,G5_VolRatio,G5_ok,S1_MCap_Mrd€,S1_ok,S2_DE_%,S2_ok,S3_Beta,S3_ok,S4_DivYield_%,S4_ok,S5_FCF_Marge_%,S5_ok,S6_FCF_Growth_%,S6_ok,S7_RevEPS_%,S7_ok
CF,"CF Industries Holdings, Inc.",Basic Materials,United States,USD,132.55,20.06,10,3,7,💎 Dual Champion,17.6,False,42.5,True,2,True,25.5,True,0.95,False,17.4,True,40.5,True,0.4,True,183.0,True,16.5,True,88.3,True,58.6,True
FRO.OL,FRONTLINE PLC,Energy,Cyprus,NOK,492.9,109.73,10,3,7,💎 Dual Champion,96.5,True,63.0,True,1,False,30.5,True,1.05,False,10.2,True,77.2,True,0.06,True,2084.0,True,9.7,True,750.1,True,423.3,True
RACE.MI,FERRARI,Consumer Cyclical,Italy,EUR,351.55,61.75,9,2,7,🛡️  Pure Safe,8.4,False,51.6,True,0,False,12.2,True,0.73,False,61.8,True,86.4,True,0.6,True,103.0,True,13.6,True,9.0,True,9.2,True
SN.L,SMITH & NEPHEW PLC ORD USD0.20,Healthcare,United Kingdom,GBp,1039.0,869.67,9,2,7,🛡️  Pure Safe,4.6,False,68.4,True,3,True,-8.3,False,1.04,False,10.2,True,73.1,True,0.68,True,280.0,True,16.8,True,3.4,True,5.2,True
RMD,ResMed Inc.,Healthcare,United States,USD,229.37,33.09,9,3,6,💎 Dual Champion,8.6,False,61.6,True,2,True,18.3,True,0.97,False,28.6,True,12.5,True,0.77,True,118.0,True,16.6,True,1.0,True,5.5,False
AVGO,Broadcom Inc.,Technology,United States,USD,342.7,1635.95,9,3,6,💎 Dual Champion,85.5,True,75.5,True,2,True,-9.0,False,0.91,False,1416.2,True,59.6,True,1.46,False,75.0,True,34.3,True,216.1,True,150.4,True
NVDA,NVIDIA Corporation,Technology,United States,USD,212.54,5132.2,8,2,6,🛡️  Pure Safe,105.9,True,74.7,True,1,False,2.5,False,0.85,False,4442.9,True,17.0,True,2.22,False,47.0,True,13.8,True,125.9,True,116.8,True
ZS,"Zscaler, Inc.",Technology,United States,USD,189.96,30.97,8,3,5,💎 Dual Champion,24.9,True,76.9,True,1,False,49.3,True,0.72,False,26.8,True,71.9,True,0.95,False,0.0,False,32.1,True,24.9,True,24.9,True
ENR.DE,Siemens Energy AG             N,Industrials,Germany,EUR,133.24,113.37,7,1,6,🛡️  Pure Safe,17.5,False,20.8,False,2,True,-21.3,False,0.79,False,113.4,True,26.5,True,1.87,False,53.0,True,14.8,True,76.1,True,48.8,True
NOVO-B.CO,Novo Nordisk B A/S,Healthcare,Denmark,DKK,275.85,1218.96,7,2,5,🛡️  Pure Safe,2.1,False,82.0,True,2,True,-1.5,False,0.91,False,163.1,True,63.3,True,0.34,True,417.0,True,11.4,True,-20.8,False,-9.2,False
NTES,"NetEase, Inc.",Communication Services,China,USD,118.99,76.18,7,2,5,🛡️  Pure Safe,7.9,False,67.2,True,3,True,-2.3,False,0.82,False,66.0,True,7.3,True,0.79,True,248.0,True,28.1,True,-18.8,False,-5.4,False
MSFT,Microsoft Corporation,Technology,United States,USD,498.34,3700.45,7,2,5,🛡️  Pure Safe,17.7,False,67.9,True,0,False,26.5,True,0.66,False,3203.5,True,29.1,True,1.11,False,72.0,True,5.0,False,31.3,True,24.7,True
META,"Meta Platforms, Inc.",Communication Services,United States,USD,667.0,1699.19,7,3,4,⚖️  Balanced,28.0,True,81.7,True,1,False,11.1,True,0.93,False,1471.0,True,43.0,True,1.24,False,32.0,True,9.4,True,-13.6,False,7.3,False
NOW,"ServiceNow, Inc.",Technology,United States,USD,141.52,146.31,7,4,3,⚖️  Balanced,24.0,True,74.8,True,2,True,39.7,True,0.68,False,126.7,True,67.5,True,0.97,False,0.0,False,35.0,True,-22.6,False,1.0,False
GS,"Goldman Sachs Group, Inc. (The)",Financial Services,United States,USD,964.44,280.82,6,3,3,⚖️  Balanced,42.5,True,82.1,True,2,True,-11.6,False,0.85,False,243.1,True,725.4,False,1.28,False,202.0,True,,False,,False,67.4,True
ORCL,Oracle Corporation,Technology,United States,USD,141.82,408.52,6,3,3,⚖️  Balanced,29.6,True,64.0,True,3,True,-24.7,False,0.91,False,353.7,True,251.7,False,1.73,False,138.0,True,-63.9,False,62.6,False,42.0,True
DBK.DE,DEUTSCHE BANK AG              N,Financial Services,Germany,EUR,33.63,63.19,4,1,3,⚪ Below,8.7,False,0.0,False,1,False,8.7,True,0.92,False,63.2,True,,False,1.0,False,293.0,True,,False,,False,13.8,True
0241.HK,ALI HEALTH,Healthcare,Hong Kong,HKD,2.92,47.31,4,1,3,⚪ Below,7.6,False,24.0,False,3,True,-12.9,False,0.68,False,,False,0.3,True,1.59,False,229.0,True,1.8,False,0.9,True,4.2,False
SMSN.IL,SAMSUNG ELECTRONICS CO LTD (ATT,Technology,South Korea,USD,4576.0,,3,1,2,⚪ Below,-22.3,False,32.0,True,1,False,-18.3,False,0.71,False,,False,2.5,True,0.88,False,213.0,True,-5.0,False,-85.9,False,-54.9,False
ALDX,"Aldeyra Therapeutics, Inc.",Healthcare,United States,USD,1.39,0.08,1,0,1,⚪ Below,,False,0.0,False,1,False,-21.9,False,0.63,False,0.1,False,0.4,True,1.19,False,0.0,False,,False,,False,,False
