import time: self [us] | cumulative | imported package
import time:       100 |        100 | winreg
import time:       258 |        258 |   _io
import time:        44 |         44 |   marshal
import time:       226 |        226 |   nt
import time:       778 |       1306 | _frozen_importlib_external
import time:      4115 |       4115 |   time
import time:       274 |       4389 | zipimport
import time:        71 |         71 |     _codecs
import time:       650 |        721 |   codecs
import time:      2694 |       2694 |   encodings.aliases
import time:      2969 |       6383 | encodings
import time:      1993 |       1993 | encodings.utf_8
import time:      2050 |       2050 | encodings.cp1252
import time:        94 |         94 | _signal
import time:        54 |         54 |     _abc
import time:       265 |        319 |   abc
import time:       190 |        508 | io
import time:        69 |         69 |       _stat
import time:       120 |        189 |     stat
import time:      1090 |       1090 |     _collections_abc
import time:        90 |         90 |       genericpath
import time:       119 |        119 |       _winapi
import time:       301 |        508 |     ntpath
import time:       573 |       2358 |   os
import time:       338 |        338 |   _sitebuiltins
import time:      2554 |       2554 |   encodings.utf_8_sig
import time:       694 |        694 |     pywin32_system32
import time:      3463 |       4157 |   pywin32_bootstrap
import time:      5182 |       5182 |   _distutils_hack
import time:       472 |        472 |   sitecustomize
import time:       317 |        317 |   usercustomize
import time:      6187 |      21563 | site
import time:      2371 |       2371 | linecache
import time:      2960 |       2960 |     yfinance.version
import time:       275 |        275 |                   itertools
import time:      5828 |       5828 |                   keyword
import time:       191 |        191 |                     _operator
import time:      3544 |       3734 |                   operator
import time:      6355 |       6355 |                   reprlib
import time:       194 |        194 |                   _collections
import time:      4990 |      21373 |                 collections
import time:       135 |        135 |                 _functools
import time:      4668 |      26174 |               functools
import time:      3297 |       3297 |               types
import time:      4691 |      34161 |             enum
import time:       106 |        106 |               _sre
import time:      2135 |       2135 |                 re._constants
import time:      2089 |       4223 |               re._parser
import time:      3047 |       3047 |               re._casefix
import time:      2197 |       9572 |             re._compiler
import time:      2264 |       2264 |             copyreg
import time:      3895 |      49891 |           re
import time:        83 |         83 |             _json
import time:      2155 |       2238 |           json.scanner
import time:      8405 |      60533 |         json.decoder
import time:      2015 |       2015 |         json.encoder
import time:      5078 |      67624 |       json
import time:      1913 |       1913 |       warnings
import time:      2887 |       2887 |         __future__
import time:       180 |        180 |           _datetime
import time:      2445 |       2624 |         datetime
import time:      2425 |       2425 |             textwrap
import time:      2159 |       2159 |             contextlib
import time:      2012 |       2012 |             _colorize
import time:      2894 |       9489 |           traceback
import time:      2036 |       2036 |             _weakrefset
import time:      2765 |       4801 |           weakref
import time:        63 |         63 |             _string
import time:      2097 |       2160 |           string
import time:      2492 |       2492 |           threading
import time:        62 |         62 |           atexit
import time:      3513 |      22514 |         logging
import time:      1173 |       1173 |             _ast
import time:      3461 |       4633 |           ast
import time:        70 |         70 |               _opcode
import time:      2217 |       2217 |               _opcode_metadata
import time:      2517 |       4803 |             opcode
import time:      3192 |       7994 |           dis
import time:      2551 |       2551 |             importlib
import time:        94 |       2645 |           importlib.machinery
import time:      2254 |       2254 |             token
import time:        62 |         62 |             _tokenize
import time:      3466 |       5781 |           tokenize
import time:      4846 |      25897 |         inspect
import time:       104 |        104 |           _typing
import time:      6107 |       6211 |         typing
import time:      2284 |       2284 |               numpy._utils._convertions
import time:      1713 |       3996 |             numpy._utils
import time:      2663 |       6659 |           numpy._globals
import time:      3523 |       3523 |           numpy._expired_attrs_2_0
import time:      1821 |       1821 |           numpy.version
import time:        98 |         98 |             numpy._distributor_init_local
import time:      1745 |       1842 |           numpy._distributor_init
import time:      2507 |       2507 |                     numpy._utils._inspect
import time:       242 |        242 |                       math
import time:      3001 |       3001 |                       numpy.exceptions
import time:      2340 |       2340 |                       numpy._core._exceptions
import time:       138 |        138 |                           _contextvars
import time:      2540 |       2678 |                         contextvars
import time:      2172 |       4850 |                       numpy._core.printoptions
import time:      2090 |       2090 |                       numpy.dtypes
import time:     24729 |      37249 |                     numpy._core._multiarray_umath
import time:      3055 |      42810 |                   numpy._core.overrides
import time:      2847 |      45657 |                 numpy._core.multiarray
import time:      2625 |       2625 |                 numpy._core.umath
import time:      2160 |       2160 |                   numbers
import time:      2684 |       2684 |                   numpy._core._string_helpers
import time:      5119 |       5119 |                   numpy._core._type_aliases
import time:      3423 |       3423 |                   numpy._core._dtype
import time:      2446 |      15830 |                 numpy._core.numerictypes
import time:       112 |        112 |                             _struct
import time:      1718 |       1829 |                           struct
import time:      1661 |       1661 |                           _compat_pickle
import time:       168 |        168 |                           _pickle
import time:      3119 |       6776 |                         pickle
import time:      2703 |       9479 |                       numpy._core._methods
import time:      4223 |      13701 |                     numpy._core.fromnumeric
import time:      2586 |      16286 |                   numpy._core.shape_base
import time:      2499 |       2499 |                   numpy._core._ufunc_config
