Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,Volume moyen,Fiabilite,detection_time
2020.HK,ACHAT,7.358,95.75,Hausse,54.07,Consumer Cyclical,10368978.47,0,2025-09-19 03:50:18
ALDX,ACHAT,8.78,5.010000228881836,Baisse,40.8,Healthcare,804763.33,0,2025-09-19 03:50:18
AMD,ACHAT,10.92,157.9199981689453,Baisse,46.7,Technology,48615656.67,0,2025-09-19 03:50:18
AMZN,ACHAT,5.44,231.22999572753906,Hausse,52.65,Consumer Cyclical,34825760.0,0,2025-09-19 03:50:18
BABA,ACHAT,6.288,162.47999572753906,Hausse,73.57,Consumer Cyclical,16652963.33,0,2025-09-19 03:50:18
DDOG,ACHAT,7.89,136.80999755859375,Hausse,52.09,Technology,4712406.67,0,2025-09-19 03:50:18
ENR.DE,ACHAT,5.318,95.18000030517578,Hausse,55.51,Industrials,1347350.27,0,2025-09-19 03:50:18
HMY,ACHAT,6.44,14.949999809265137,Hausse,51.32,Basic Materials,5525656.67,0,2025-09-19 03:50:18
NVDA,ACHAT,13.44,176.24000549316406,Hausse,52.8,Technology,169590030.0,0,2025-09-19 03:50:18
OKTA,ACHAT,7.89,93.5999984741211,Hausse,52.75,Technology,3888736.67,0,2025-09-19 03:50:18
QCOM,ACHAT,7.47,168.1300048828125,Hausse,68.56,Technology,6796900.0,0,2025-09-19 03:50:18
SAP.DE,ACHAT,8.65,229.5,Hausse,48.06,Technology,1348277.9,0,2025-09-19 03:50:18
SGMT,ACHAT,9.085,6.75,Baisse,42.46,Healthcare,553176.67,0,2025-09-19 03:50:18
SMSN.L,VENTE,-4.471,1421.0,Hausse,77.19,Technology,7982.07,0,2025-09-19 03:50:18
SPY,ACHAT,5.298,662.260009765625,Hausse,71.39,ℹ️Inconnu!!,46552836.67,0,2025-09-19 03:50:18
SYM,ACHAT,5.318,51.2599983215332,Hausse,56.62,Industrials,1001313.33,0,2025-09-19 03:50:18
TM,ACHAT,5.653,200.47000122070312,Hausse,59.38,Consumer Cyclical,179166.67,0,2025-09-19 03:50:18
