Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,Volume moyen,Fiabilite,detection_time
2020.HK,ACHAT,3.957,91.44999694824219,Baisse,44.65,Consumer Cyclical,10481949.7,0,2025-10-06 23:01:10
ABBN.SW,ACHAT,5.245,58.86000061035156,Hausse,70.26,Industrials,2032150.7,0,2025-10-06 23:01:10
AMZN,ACHAT,5.68,220.89999389648438,Baisse,44.72,Consumer Cyclical,41396606.07,0,2025-10-06 23:01:10
EEM,VENTE,-0.59,54.47999954223633,Hausse,80.29,ℹ️Inconnu!!,18900425.6,0,2025-10-06 23:01:10
ENR.DE,ACHAT,5.245,106.75,Hausse,69.77,Industrials,1818941.47,0,2025-10-06 23:01:10
FLEX,ACHAT,8.45,57.279998779296875,Hausse,55.62,Technology,3469662.87,0,2025-10-06 23:01:10
GOOGL,ACHAT,4.29,250.42999267578125,Hausse,70.43,Communication Services,35629817.67,0,2025-10-06 23:01:10
MP,ACHAT,9.91,74.33000183105469,Hausse,60.39,Basic Materials,9134689.63,0,2025-10-06 23:01:10
SMSN.L,VENTE,-4.471,1606.0,Hausse,82.91,Technology,10577.83,0,2025-10-06 23:01:10
SYM,ACHAT,6.525,67.83999633789062,Hausse,73.59,Industrials,1468939.7,0,2025-10-06 23:01:10
TM,ACHAT,12.745,199.17999267578125,Hausse,56.18,Consumer Cyclical,187236.6,0,2025-10-06 23:01:10
UEC,ACHAT,5.745,13.050000190734863,Hausse,57.33,Energy,16694263.17,0,2025-10-06 23:01:10
