Timestamp,Sector,Gain_moy,Success_Rate,Trades,Seuil_Achat,Seuil_Vente,a1,a2,a3,a4,a5,a6,a7,a8
2025-07-26 10:49:08,Technology,0.41,54.5455,11,3.89,-1.22,2.33,0.53,1.84,2.37,0.53,2.72,0.64,1.91
2025-07-26 11:02:36,Technology,0.5,60.0,10,3.89,-1.02,1.89,0.68,0.63,2.17,1.94,2.98,1.34,0.83
2025-07-26 11:02:36,Technology,0.5,60.0,10,3.89,-1.02,1.89,0.68,0.63,2.17,1.94,2.98,1.34,0.83
2025-07-26 11:09:07,Healthcare,0.41,75.0,4,2.36,-0.47,1.81,0.72,2.7,0.82,1.53,2.86,1.84,2.56
2025-07-26 11:13:42,Healthcare,0.41,75.0,4,2.36,-0.47,1.81,0.72,2.7,0.82,1.53,2.86,1.84,2.56
2025-07-26 11:32:43,Financial Services,1.79,100.0,4,4.23,-0.59,1.59,0.57,2.15,0.8,2.16,0.79,0.53,2.68
2025-07-26 11:46:37,Financial Services,1.79,100.0,4,4.23,-0.59,1.59,0.57,2.15,0.8,2.16,0.79,0.53,2.68
2025-07-26 12:16:45,Consumer Cyclical,0.77,70.0,10,2.14,-1.65,1.06,1.82,1.46,1.62,2.58,2.87,0.98,1.66
2025-07-26 12:39:15,Consumer Cyclical,0.77,70.0,10,2.14,-1.65,1.06,1.82,1.46,1.62,2.58,2.87,0.98,1.66
2025-07-26 12:57:41,Industrials,3.7,100.0,2,4.94,-1.86,1.32,0.69,1.08,0.8,2.8,0.87,0.57,1.43
2025-07-26 13:19:32,Energy,3.0,72.7273,11,2.24,-1.16,1.76,2.43,1.11,2.03,2.57,2.82,2.55,2.75
2025-07-26 13:35:50,Energy,4.04,75.0,12,2.24,-0.43,2.09,1.99,0.77,1.51,2.51,2.81,2.84,2.79
2025-07-26 14:55:24,Energy,4.04,75.0,12,2.24,-0.43,2.09,1.99,0.77,1.51,2.51,2.81,2.84,2.79
2025-07-26 15:00:40,Basic Materials,0.39,66.6667,6,2.37,-0.51,2.47,2.84,1.64,0.81,0.72,2.51,1.87,0.91
2025-07-26 15:05:38,Basic Materials,0.39,66.6667,6,2.37,-0.51,2.47,2.84,1.64,0.81,0.72,2.51,1.87,0.91
2025-07-26 15:33:19,Communication Services,1.46,55.5556,9,2.22,-0.93,1.31,0.56,0.77,1.11,2.13,2.51,2.07,1.17
2025-07-26 16:02:45,Communication Services,1.46,55.5556,9,2.22,-0.93,1.31,0.56,0.77,1.11,2.13,2.51,2.07,1.17
2025-07-26 16:24:00,Utilities,0.0,0.0,0,2.58,-1.27,1.82,0.83,2.51,1.31,2.94,1.75,1.89,2.3
2025-07-26 16:52:53,Real Estate,1.9,100.0,4,2.99,-1.11,0.85,1.21,0.81,0.75,2.46,2.39,2.7,2.53
2025-07-26 17:12:12,Real Estate,1.9,100.0,4,2.99,-1.11,0.85,1.21,0.81,0.75,2.46,2.39,2.7,2.53
2025-07-26 17:37:28,ℹ️Inconnu!!,2.02,83.3333,6,4.79,-0.41,1.85,0.57,1.09,0.54,1.07,1.11,0.94,2.79
2025-07-26 17:53:47,ℹ️Inconnu!!,2.02,83.3333,6,4.79,-0.41,1.85,0.57,1.09,0.54,1.07,1.11,0.94,2.79
