Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,Volume moyen,Fiabilite,detection_time
0066.HK,ACHAT,5.95,27.440000534057617,Baisse,43.03,Industrials,5747867.1,0.0,2025-08-16 17:08:58
0101.HK,ACHAT,6.260000000000001,8.119999885559082,Hausse,68.66,Real Estate,11086151.83,0.0,2025-08-16 17:08:58
1810.HK,ACHAT,8.55,52.849998474121094,Baisse,43.26,Technology,122933697.0,66.66666666666666,2025-08-16 17:08:58
2386.HK,ACHAT,5.71,6.179999828338623,Baisse,52.53,Industrials,3622266.4,100.0,2025-08-16 17:08:58
ABBV,ACHAT,7.76,206.69000244140625,Hausse,69.78,Healthcare,5328243.33,100.0,2025-08-16 17:08:58
ABR,ACHAT,3.21,11.600000381469727,Hausse,59.13,Real Estate,2656400.0,0.0,2025-08-16 17:08:58
AGI,ACHAT,4.45,25.989999771118164,Hausse,50.3,Basic Materials,3504043.33,100.0,2025-08-16 17:08:58
AGI.TO,ACHAT,4.45,35.880001068115234,Hausse,51.46,Basic Materials,1102776.67,100.0,2025-08-16 17:08:58
AGS,VENTE,-2.88,12.489999771118164,Hausse,76.85,Consumer Cyclical,0.0,0.0,2025-08-16 17:08:58
AGX,ACHAT,5.76,223.99000549316406,Baisse,50.37,Industrials,420160.0,66.66666666666666,2025-08-16 17:08:58
AIR.PA,ACHAT,3.67,186.8800048828125,Hausse,62.28,Industrials,945305.27,80.0,2025-08-16 17:08:58
ALK,ACHAT,3.289999999999999,57.36000061035156,Hausse,61.31,Industrials,2654683.33,66.66666666666666,2025-08-16 17:08:58
AMT,ACHAT,5.0,206.1199951171875,Baisse,38.92,Real Estate,2107923.33,0.0,2025-08-16 17:08:58
AMZN,ACHAT,7.410000000000002,231.02999877929688,Hausse,58.86,Consumer Cyclical,44759196.67,0.0,2025-08-16 17:08:58
AOS,ACHAT,3.8899999999999992,72.20999908447266,Hausse,59.46,Industrials,1091900.0,0.0,2025-08-16 17:08:58
ASML.AS,ACHAT,4.072000000000001,636.7000122070312,Hausse,54.0,Technology,444000.37,0.0,2025-08-16 17:08:58
AU,ACHAT,4.53,54.310001373291016,Hausse,56.51,Basic Materials,1938833.33,0.0,2025-08-16 17:08:58
AVB,ACHAT,6.95,190.5800018310547,Hausse,46.09,Real Estate,637330.0,0.0,2025-08-16 17:08:58
AZN.L,ACHAT,8.006,11592.0,Hausse,69.01,Healthcare,2138589.7,0.0,2025-08-16 17:08:58
BAX,ACHAT,2.4187499999999997,24.18000030517578,Baisse,40.49,Healthcare,7127073.33,100.0,2025-08-16 17:08:58
BIIB,ACHAT,6.476,138.60000610351562,Hausse,63.79,Healthcare,1071823.33,100.0,2025-08-16 17:08:58
BMW.DE,ACHAT,6.1259999999999994,90.13999938964844,Hausse,68.93,Consumer Cyclical,653868.7,0.0,2025-08-16 17:08:58
CAT,ACHAT,5.2,407.7900085449219,Baisse,48.42,Industrials,3010603.33,100.0,2025-08-16 17:08:58
CCI,ACHAT,8.030000000000001,101.69000244140625,Baisse,43.15,Real Estate,3140676.67,0.0,2025-08-16 17:08:58
CCRD,ACHAT,5.32,27.219999313354492,Baisse,47.8,Technology,97490.0,71.42857142857143,2025-08-16 17:08:58
COLL,ACHAT,7.76,37.7400016784668,Hausse,70.21,Healthcare,361980.0,100.0,2025-08-16 17:08:58
CRL,ACHAT,4.81,156.67999267578125,Baisse,48.68,Healthcare,959356.67,100.0,2025-08-16 17:08:58
CRON,ACHAT,5.994999999999999,2.369999885559082,Hausse,58.66,Healthcare,2324840.0,0.0,2025-08-16 17:08:58
CRSR,ACHAT,6.720000000000001,8.739999771118164,Baisse,42.73,Technology,554426.67,80.0,2025-08-16 17:08:58
CVNA,ACHAT,6.3,349.989990234375,Hausse,52.75,Consumer Cyclical,3005080.0,0.0,2025-08-16 17:08:58
CVS,ACHAT,8.479999999999999,68.5999984741211,Hausse,65.71,Healthcare,8167500.0,100.0,2025-08-16 17:08:58
CVX,ACHAT,13.48,156.5500030517578,Hausse,60.62,Energy,11129643.33,0.0,2025-08-16 17:08:58
DAC,ACHAT,3.13,92.58000183105469,Baisse,54.6,Industrials,68026.67,100.0,2025-08-16 17:08:58
DE,ACHAT,7.6,488.79998779296875,Baisse,42.48,Industrials,1333583.33,0.0,2025-08-16 17:08:58
DHR,ACHAT,6.2299999999999995,210.92999267578125,Hausse,61.92,Healthcare,4189006.67,0.0,2025-08-16 17:08:58
DLR,ACHAT,3.338,166.89999389648438,Baisse,35.49,Real Estate,1030420.0,100.0,2025-08-16 17:08:58
DOCU,ACHAT,6.888,70.9000015258789,Baisse,42.51,Technology,1559673.33,75.0,2025-08-16 17:08:58
ENGI.PA,ACHAT,5.58,18.90999984741211,Baisse,43.29,Utilities,2666217.43,75.0,2025-08-16 17:08:58
ENR.DE,ACHAT,5.16,94.83999633789062,Baisse,46.72,Industrials,1099560.07,100.0,2025-08-16 17:08:58
EQR,ACHAT,6.95,64.12000274658203,Hausse,46.28,Real Estate,1646743.33,0.0,2025-08-16 17:08:58
ESS,ACHAT,5.51,259.3800048828125,Baisse,41.32,Real Estate,435330.0,0.0,2025-08-16 17:08:58
