Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,Volume moyen,dPrice,dMACD,dRSI,dVolRel,Rev. Growth (%),EBITDA (B$),FCF (B$),D/E Ratio,Market Cap (B$),Fiabilite,detection_time
0038.HK,ACHAT,6.57,8.90999984741211,Hausse,68.58,Industrials,4110351.47,0.249,0.071,3.517,-0.298,-5.3,0.87,-0.42,4.18,17.02,60.0,2025-12-18 21:39:25
AAL,ACHAT,8.94,15.589900016784668,Hausse,66.1,Industrials,53753020.03,0.11,0.017,0.077,0.014,0.3,4.61,0.42,0.0,10.29,100.0,2025-12-18 21:39:25
ABBN.SW,ACHAT,8.04,58.119998931884766,Hausse,52.32,Industrials,2362709.8,-0.138,-0.006,-0.966,0.022,11.4,6.94,3.37,61.45,105.69,50.0,2025-12-18 21:39:25
ADSK,ACHAT,5.74,298.989990234375,Baisse,48.55,Technology,1512570.6,-0.859,-0.325,-0.722,-0.037,18.0,1.77,2.54,94.5,63.69,100.0,2025-12-18 21:39:25
AEM,ACHAT,6.71,168.7899932861328,Hausse,52.43,Basic Materials,2184564.97,0.275,-0.059,0.243,-0.038,41.9,6.89,3.51,1.43,84.8,100.0,2025-12-18 21:39:25
AEO,ACHAT,5.835,27.479999542236328,Hausse,78.08,Consumer Cyclical,8777674.3,0.562,0.106,0.938,-0.038,5.7,0.51,0.04,121.28,4.66,66.66666666666666,2025-12-18 21:39:25
AG,ACHAT,6.71,16.190000534057617,Hausse,62.23,Basic Materials,17341223.0,0.093,0.021,-0.172,-0.021,95.1,0.38,0.22,7.89,7.95,100.0,2025-12-18 21:39:25
AGI,ACHAT,5.948,37.814998626708984,Hausse,61.31,Basic Materials,2374556.77,0.078,0.02,-0.233,-0.044,28.1,0.96,0.23,6.83,15.91,100.0,2025-12-18 21:39:25
AGI.TO,ACHAT,7.181,52.09000015258789,Hausse,59.58,Basic Materials,717323.67,0.077,0.009,-0.226,-0.011,28.1,0.96,0.23,6.83,21.93,100.0,2025-12-18 21:39:25
AGNC,ACHAT,7.84,10.595600128173828,Hausse,64.06,Real Estate,19289199.47,0.026,-0.008,0.803,0.002,122.3,0.0,0.0,649.22,11.37,100.0,2025-12-18 21:39:25
AGQ,ACHAT,4.312,138.76409912109375,Hausse,69.22,ℹ️Inconnu!!,3113058.57,2.457,0.562,-0.305,-0.022,0.0,0.0,0.0,0.0,0.0,100.0,2025-12-18 21:39:25
ALB,ACHAT,12.64,140.4149932861328,Hausse,69.84,Basic Materials,3566926.87,0.955,-0.015,0.294,0.002,-3.5,0.7,-0.16,36.66,16.53,50.0,2025-12-18 21:39:25
ALK,ACHAT,4.512,52.189998626708984,Hausse,65.6,Industrials,3414588.0,0.192,0.167,-0.394,-0.257,22.6,1.34,0.13,160.61,6.05,75.0,2025-12-18 21:39:25
AOS,ACHAT,4.83,68.38999938964844,Hausse,58.04,Industrials,969533.13,-0.081,0.007,-0.83,0.002,4.4,0.78,0.45,12.06,9.58,36.36363636363637,2025-12-18 21:39:25
ASML.AS,ACHAT,6.575,892.7000122070312,Baisse,44.7,Technology,431794.8,-7.599,-2.518,-2.236,0.086,0.7,12.16,9.32,14.24,346.5,100.0,2025-12-18 21:39:25
ATRO,ACHAT,11.935,52.07500076293945,Baisse,51.1,Industrials,394062.2,-0.561,-0.069,-2.322,0.053,3.8,0.07,0.03,348.36,1.86,100.0,2025-12-18 21:39:25
AU,ACHAT,6.71,85.51719665527344,Hausse,59.72,Basic Materials,1929118.2,0.154,-0.015,0.195,-0.049,62.1,4.48,1.57,24.23,43.15,100.0,2025-12-18 21:39:25
AVGO,ACHAT,4.535,330.8999938964844,Baisse,35.38,Technology,25875221.53,-9.213,-2.958,-3.318,0.026,16.4,35.0,25.19,166.03,1562.39,100.0,2025-12-18 21:39:25
AXSM,ACHAT,6.35,147.39999389648438,Baisse,52.99,Healthcare,330607.67,-0.192,-0.133,-0.478,0.028,63.2,-0.19,-0.02,296.49,7.43,60.0,2025-12-18 21:39:25
AZN.L,ACHAT,8.22,13548.0,Baisse,51.25,Healthcare,1617952.57,6.762,-6.181,0.321,0.105,12.0,20.42,9.98,71.05,210.03,66.66666666666666,2025-12-18 21:39:25
