Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,CapRange,ParamKey,Volume moyen,Consensus,ConsensusMean,dPrice,dMACD,dRSI,dVolRel,Rev. Growth (%),EBITDA Yield (%),FCF Yield (%),D/E Ratio,Market Cap (B$),Fiabilite,detection_time
NXP,ACHAT,8.043,14.399999618530273,Hausse,69.28,Financial Services,Small,Financial Services_Small,207081.07,Neutre,,0.31,17.92,4.22,-110.16,9.1,0.0,0.0,0.0,0.75,42.857142857142854,2026-02-11 16:08:47
IMNM,ACHAT,4.01,24.93000030517578,Hausse,56.31,Healthcare,Mid,Healthcare_Mid,1891596.67,Achat,1.15385,-0.7,-6.13,-2.72,-11.21,0.0,-10.14,-4.64,1.52,2.75,100.0,2026-02-11 16:08:47
NVDA,ACHAT,7.017,190.9940948486328,Hausse,55.1,Technology,Mega,Technology_Mega,163042477.97,Achat,1.34921,0.87,-28.29,3.18,-44.47,62.5,2.49,1.16,9.1,4590.38,66.66666666666666,2026-02-11 16:08:47
CDTX,ACHAT,5.609,221.3800048828125,Hausse,83.73,Healthcare,Mid,Healthcare_Mid,950342.27,Neutre,3.0,0.06,-8.68,0.1,0.0,0.0,-2.44,-0.46,0.47,6.96,100.0,2026-02-11 16:08:47
PRAX,ACHAT,4.436,314.6300048828125,Hausse,58.06,Healthcare,Mid,Healthcare_Mid,555849.0,Achat,1.5,0.57,-3.79,0.62,-66.71,0.0,-3.78,-1.5,0.13,8.89,100.0,2026-02-11 16:08:47
JPM,ACHAT,3.115,319.739990234375,Hausse,55.16,Financial Services,Mega,Financial Services_Mega,11278600.2,Achat,2.11538,0.47,56.67,1.58,-75.02,2.5,0.0,0.0,0.0,866.44,100.0,2026-02-11 16:08:47
AMAT,ACHAT,7.787,338.9200134277344,Hausse,61.97,Technology,Mega,Technology_Mega,7588760.53,Achat,1.73684,0.85,-7.73,0.8,-76.64,-3.5,3.45,1.4,34.53,261.19,100.0,2026-02-11 16:08:47
AVGO,ACHAT,5.477,339.54998779296875,Hausse,51.04,Technology,Mega,Technology_Mega,25760374.1,Achat,1.22,1.02,-15.7,4.0,-89.07,16.4,20.68,1.55,166.03,1614.12,50.0,2026-02-11 16:08:47
GEV,ACHAT,6.183,817.60498046875,Hausse,69.14,Industrials,Large,Industrials_Large,3141043.93,Achat,1.63636,1.02,5.78,0.07,-65.05,3.8,1.45,2.46,9.73,214.56,77.77777777777779,2026-02-11 16:08:47
ASML,ACHAT,8.453,1434.8699951171875,Hausse,63.0,Technology,Mega,Technology_Mega,2055161.37,Achat,1.5814,0.33,-7.31,-0.43,-88.4,4.9,2.3,2.31,13.81,548.69,100.0,2026-02-11 16:08:47
OPEN,ACHAT,5.517,4.764999866485596,Baisse,37.07,Real Estate,Mid,Real Estate_Mid,56431738.23,Neutre,3.25,-0.65,3.57,0.57,-65.88,-33.6,-3.42,16.37,220.34,4.47,40.0,2026-02-11 16:08:47
TIGR,ACHAT,6.34,8.319999694824219,Baisse,42.98,Financial Services,Small,Financial Services_Small,3837303.77,Neutre,,0.26,2.92,2.43,-65.81,79.5,0.0,0.0,21.27,1.5,50.0,2026-02-11 16:08:47
MBLY,ACHAT,6.137,9.475000381469727,Baisse,44.27,Consumer Cyclical,Mid,Consumer Cyclical_Mid,11231982.23,Achat,2.10714,0.95,-0.23,4.03,-69.74,-9.0,1.31,8.0,0.56,7.9,66.66666666666666,2026-02-11 16:08:47
SEMR,ACHAT,3.127,11.819999694824219,Baisse,60.32,Technology,Small,Technology_Small,2495479.97,Neutre,,-0.08,-21.23,-2.62,-333.77,15.1,0.14,3.47,4.67,1.79,50.0,2026-02-11 16:08:47
CRSP,ACHAT,7.104,47.029998779296875,Baisse,39.69,Healthcare,Mid,Healthcare_Mid,1725327.73,Achat,1.96296,-1.12,8.22,-0.8,-66.55,47.7,-15.58,-4.44,11.01,4.65,100.0,2026-02-11 16:08:47
LLY,ACHAT,5.843,1022.8300170898438,Baisse,47.05,Healthcare,Mega,Healthcare_Mega,3243694.77,Achat,1.65517,-0.22,0.77,-0.27,-126.93,42.6,3.32,0.0,178.52,918.87,100.0,2026-02-11 16:08:47
CALX,VENTE,-2.662,53.96500015258789,Hausse,51.33,Technology,Mid,Technology_Mid,1233298.0,Achat,1.57143,2.14,-47.64,4.77,-223.74,32.2,1.18,3.32,1.49,3.61,100.0,2026-02-11 16:08:47
