Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,Volume moyen,Fiabilite,detection_time
0011.HK,ACHAT,6.200000000000001,123.19999694824219,Hausse,70.39,Financial Services,1481981.3,66.66666666666666,2025-07-21 01:25:54
0101.HK,ACHAT,6.35,7.449999809265137,Hausse,60.36,Real Estate,13185936.53,66.66666666666666,2025-07-21 01:25:54
0117.HK,VENTE,-2.7,,Baisse,63.18,Technology,,0.0,2025-07-20 23:06:14
1299.HK,ACHAT,5.9,68.8499984741211,Hausse,52.7,Financial Services,39768284.77,85.71428571428571,2025-07-21 01:25:54
2313.HK,ACHAT,5.8,57.5,Hausse,56.65,Consumer Cyclical,4376810.7,0.0,2025-07-21 01:02:46
2313.HK,ACHAT,5.8,57.5,Hausse,56.6,Consumer Cyclical,4376810.7,0.0,2025-07-21 00:28:04
2386.HK,ACHAT,6.4,6.139999866485596,Hausse,58.34,Industrials,3504612.73,66.66666666666666,2025-07-21 01:25:54
2388.HK,ACHAT,5.870000000000001,36.900001525878906,Hausse,67.06,Financial Services,16470659.1,85.71428571428571,2025-07-21 01:25:54
2628.HK,ACHAT,7.300000000000001,19.65999984741211,Hausse,68.83,Financial Services,77889709.5,66.66666666666666,2025-07-21 01:25:54
3690.HK,ACHAT,7.0,131.1999969482422,Hausse,53.57,Consumer Cyclical,51924830.27,75.0,2025-07-21 01:25:54
3988.HK,ACHAT,6.33,4.690000057220459,Hausse,52.1,Financial Services,,66.66666666666666,2025-07-20 20:18:48
ADBE,VENTE,-1.3,365.7900085449219,Baisse,38.61,Technology,4216713.33,71.42857142857143,2025-07-21 01:25:54
ADYEN.AS,VENTE,-1.3,1556.199951171875,Hausse,48.54,Technology,65007.7,0.0,2025-07-20 23:06:14
AGI,VENTE,-0.9,24.889999389648438,Baisse,39.96,Basic Materials,3456003.33,66.66666666666666,2025-07-21 01:25:54
AGI,VENTE,-1.5,24.88999938964844,Baisse,36.12,Basic Materials,,100.0,2025-07-20 11:27:06
AGI.TO,VENTE,-2.5000000000000004,34.13999938964844,Baisse,39.27,Basic Materials,1158580.0,66.66666666666666,2025-07-21 01:25:54
AGI.TO,VENTE,-2.2,34.13999938964844,Baisse,37.26,Basic Materials,,100.0,2025-07-20 18:03:33
AGI.TO,VENTE,-2.2,34.13999938964844,Baisse,37.27,Basic Materials,,100.0,2025-07-20 11:27:06
AGL,VENTE,-1.2,2.119999885559082,Baisse,38.62,Healthcare,3026686.67,100.0,2025-07-21 01:25:54
AGM,VENTE,-1.0,174.33999633789062,Baisse,37.4,Financial Services,177493.33,66.66666666666666,2025-07-21 01:25:54
AGQ,ACHAT,5.75,52.90999984741211,Hausse,61.55,ℹ️Inconnu!!,1760816.67,75.0,2025-07-21 01:25:54
AGS,VENTE,-5.3,,Baisse,79.78,Consumer Cyclical,,0.0,2025-07-20 23:06:14
ALV.DE,ACHAT,6.699999999999999,345.6000061035156,Hausse,50.2,Financial Services,598572.77,80.0,2025-07-21 01:02:46
AMD,ACHAT,6.0,156.99000549316406,Hausse,71.91,Technology,53842480.0,100.0,2025-07-21 01:25:54
AN,VENTE,-1.7,,Baisse,44.59,Consumer Cyclical,,0.0,2025-07-21 00:06:27
ARG.PA,VENTE,-1.5,63.5,Baisse,49.42,Real Estate,26000.57,0.0,2025-07-20 23:06:14
AU,ACHAT,5.75,47.65999984741211,Hausse,55.09,Basic Materials,4058763.33,66.66666666666666,2025-07-20 19:17:59
AVGO,ACHAT,7.25,283.3399963378906,Hausse,66.91,Technology,18990430.0,66.66666666666666,2025-07-21 01:25:54
AXSM,ACHAT,6.0,111.69999694824219,Hausse,60.8,Healthcare,386440.0,75.0,2025-07-21 01:25:54
BA,ACHAT,5.95,229.33999633789062,Hausse,68.49,Industrials,8658660.0,66.66666666666666,2025-07-21 01:25:54
BABA,ACHAT,6.7,120.2300033569336,Hausse,58.16,Consumer Cyclical,13856800.0,60.0,2025-07-21 01:25:54
BATS.L,ACHAT,6.625,3812.0,Hausse,66.19,Consumer Defensive,5219217.03,66.66666666666666,2025-07-21 01:25:54
BAX,VENTE,-1.2,27.770000457763672,Baisse,34.08,Healthcare,3910730.0,100.0,2025-07-21 01:25:54
BILI,ACHAT,6.1000000000000005,25.200000762939453,Hausse,72.87,Communication Services,3270236.67,66.66666666666666,2025-07-21 01:25:54
BNP.PA,ACHAT,7.0,77.83999633789062,Hausse,55.66,Financial Services,2351283.0,100.0,2025-07-20 11:27:06
BZ=F,VENTE,-1.5,69.3499984741211,Hausse,51.2,ℹ️Inconnu!!,48093.4,100.0,2025-07-21 01:25:54
CACI,ACHAT,6.2,482.9200134277344,Hausse,56.26,Technology,151776.67,66.66666666666666,2025-07-21 01:25:54
CSCO,ACHAT,7.2,68.05000305175781,Hausse,58.1,Technology,20794370.0,77.77777777777779,2025-07-21 01:25:54
CVS,VENTE,-0.5000000000000002,61.959999084472656,Baisse,34.73,Healthcare,6383410.0,100.0,2025-07-21 01:25:54
DBK.DE,ACHAT,5.75,25.854999542236328,Hausse,58.98,Financial Services,6100367.73,66.66666666666666,2025-07-20 19:17:59
DDOG,ACHAT,7.699999999999999,145.02000427246094,Hausse,63.64,Technology,8793533.33,83.33333333333334,2025-07-21 01:25:54
DIA,ACHAT,6.625,443.260009765625,Hausse,59.73,ℹ️Inconnu!!,3314123.33,80.0,2025-07-21 01:25:54
ETN,ACHAT,5.95,378.6199951171875,Hausse,73.63,Industrials,2052356.67,80.0,2025-07-21 01:25:54
ETOR,VENTE,-1.1,56.77999877929688,Baisse,46.54,Financial Services,,0.0,2025-07-21 00:06:27
ETSY,ACHAT,7.300000000000001,59.63999938964844,Hausse,62.88,Consumer Cyclical,5345080.0,75.0,2025-07-21 01:25:54
FAST,ACHAT,5.95,46.060001373291016,Hausse,73.8,Industrials,6301533.33,66.66666666666666,2025-07-21 01:25:54
FME.DE,VENTE,-0.5000000000000002,45.939998626708984,Baisse,37.73,Healthcare,464499.2,100.0,2025-07-21 01:25:54
FNV,VENTE,-0.9,154.39999389648438,Baisse,35.94,Basic Materials,822426.67,60.0,2025-07-21 01:25:54
