Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,Volume moyen,Fiabilite,detection_time
GLD,ACHAT,5.75,314.3299865722656,Hausse,58.87,ℹ️Inconnu!!,8898992.2,66.66666666666666,2025-07-23 10:59:06
GLD,ACHAT,5.75,314.3099975585937,Hausse,58.84,ℹ️Inconnu!!,8898790.1,66.66666666666666,2025-07-23 10:58:49
GLD,ACHAT,5.75,314.4700012207031,Hausse,59.09,ℹ️Inconnu!!,8896128.93,66.66666666666666,2025-07-23 10:57:19
GLD,ACHAT,5.75,314.41900634765625,Hausse,59.01,ℹ️Inconnu!!,8892275.8,66.66666666666666,2025-07-23 10:50:01
GLD,ACHAT,6.75,316.1000061035156,Hausse,61.27,ℹ️Inconnu!!,9602996.67,66.66666666666666,2025-07-23 09:29:27
META,ACHAT,7.300000000000001,713.5800170898438,Hausse,55.62,Communication Services,11385505.9,66.66666666666666,2025-07-23 18:03:26
PYPL,ACHAT,6.5,76.66000366210938,Hausse,59.5,Financial Services,10002560.47,75.0,2025-07-23 18:03:26
PYPL,ACHAT,6.17,76.0,Hausse,58.0,Financial Services,9129103.33,75.0,2025-07-23 10:59:06
PYPL,ACHAT,6.5,76.92120361328125,Hausse,60.31,Financial Services,9264525.57,75.0,2025-07-23 10:58:49
PYPL,ACHAT,6.5,76.87000274658203,Hausse,60.19,Financial Services,9263169.37,75.0,2025-07-23 10:57:19
PYPL,ACHAT,6.5,76.88999938964844,Hausse,60.23,Financial Services,9260976.97,75.0,2025-07-23 10:54:30
PYPL,ACHAT,6.5,77.06999969482422,Hausse,60.66,Financial Services,9214643.33,75.0,2025-07-23 10:50:01
PYPL,ACHAT,6.5,76.79499816894531,Hausse,59.81,Financial Services,9780671.43,75.0,2025-07-23 10:42:48
PYPL,ACHAT,6.17,77.0510025024414,Hausse,60.39,Financial Services,9769584.2,75.0,2025-07-23 10:36:42
PYPL,ACHAT,6.17,76.90499877929688,Hausse,60.06,Financial Services,9755988.4,75.0,2025-07-23 10:23:07
PYPL,ACHAT,7.299999999999999,76.0,Hausse,57.89,Financial Services,9908546.67,75.0,2025-07-23 09:29:27
QBTS,ACHAT,8.4,20.299999237060547,Hausse,65.49,Technology,49380579.6,66.66666666666666,2025-07-23 18:03:26
QBTS,ACHAT,8.4,19.325000762939453,Hausse,62.91,Technology,47893672.2,66.66666666666666,2025-07-23 11:02:33
QBTS,ACHAT,8.4,19.21999931335449,Hausse,62.69,Technology,42833182.17,66.66666666666666,2025-07-23 10:57:19
QBTS,ACHAT,8.4,19.125,Hausse,62.4,Technology,42820519.97,66.66666666666666,2025-07-23 10:54:30
QBTS,ACHAT,6.25,17.59000015258789,Hausse,57.03,Technology,41898090.0,66.66666666666666,2025-07-23 10:50:01
QBTS,ACHAT,8.4,18.825000762939453,Hausse,61.43,Technology,47737385.83,66.66666666666666,2025-07-23 10:42:48
QBTS,ACHAT,7.890000000000001,18.89349937438965,Hausse,61.64,Technology,47686499.07,66.66666666666666,2025-07-23 10:36:42
QBTS,ACHAT,7.890000000000001,19.01000022888184,Hausse,61.99,Technology,47586923.17,66.66666666666666,2025-07-23 10:23:07
