Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,Volume moyen,Fiabilite,detection_time
DBK.DE,ACHAT,6.625,31.2450008392334,Hausse,73.35,Financial Services,5141488.73,66.66666666666666,2025-08-18 00:31:21
TSM,ACHAT,5.61,238.8800048828125,Baisse,51.68,Technology,6945760.0,66.66666666666666,2025-08-18 01:10:31
SPY,ACHAT,3.455,643.4400024414062,Hausse,65.41,ℹ️Inconnu!!,69586346.67,100.0,2025-08-18 01:10:31
SMSN.L,ACHAT,3.51,1268.0,Hausse,57.32,Technology,9100.97,70.0,2025-08-18 01:10:31
RHM.DE,ACHAT,5.76,1621.0,Baisse,42.49,Industrials,236710.2,80.0,2025-08-18 01:10:31
QCOM,ACHAT,3.523,157.85000610351562,Hausse,56.43,Technology,7770410.0,0.0,2025-08-18 01:10:31
OKTA,ACHAT,6.391,92.0199966430664,Baisse,44.39,Technology,3257990.0,75.0,2025-08-18 01:10:31
NVDA,ACHAT,3.939,180.4499969482422,Hausse,63.76,Technology,153321640.0,66.66666666666666,2025-08-18 01:10:31
MP,ACHAT,3.694,75.02999877929688,Hausse,74.11,Basic Materials,9191843.33,0.0,2025-08-18 01:10:31
INOD,ACHAT,3.983,40.18999862670898,Baisse,41.08,Technology,2569250.0,60.0,2025-08-18 01:10:31
GLW,VENTE,-1.91,65.44000244140625,Hausse,76.37,Technology,5313346.67,66.66666666666666,2025-08-18 01:10:31
FLEX,ACHAT,6.911,49.0,Baisse,46.46,Technology,3874343.33,71.42857142857143,2025-08-18 01:10:31
ENR.DE,ACHAT,5.16,94.83999633789062,Baisse,46.72,Industrials,1037182.0,100.0,2025-08-18 01:10:31
EEM,ACHAT,3.62,49.93999862670898,Hausse,61.2,ℹ️Inconnu!!,15778526.67,66.66666666666666,2025-08-18 01:10:31
ASML.AS,ACHAT,4.072,636.7000122070312,Hausse,54.0,Technology,419956.9,0.0,2025-08-18 01:10:31
AMZN,ACHAT,7.41,231.02999877929688,Hausse,58.86,Consumer Cyclical,44759196.67,0.0,2025-08-18 01:10:31
INOD,ACHAT,3.983,40.189998626708984,Baisse,41.08,Technology,2569250.0,60.0,2025-08-18 01:56:53
EEM,ACHAT,3.62,49.939998626708984,Hausse,61.2,ℹ️Inconnu!!,15778526.67,66.66666666666666,2025-08-18 01:56:53
